"Company","Software","On-demandscan","On-accessscan","Boot-timescans","Heuristics","CloudAV","Firewall","IDS","IPS","Sandbox","EmailSecurity","AntiSpam","Webprotection","Macroprotection","LiveUpdate","Support","SettingsImport/Export","installer/updaterMIMAsafe","License","Price","Firstrelease","Countryoforigin","Originalauthor/s","Notes"
"ComodoGroup","ComodoInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes*","Yes","Yes","Yes*","Yes","Yes","Yes","?","Proprietary","Free","2010","UnitedStates","","*Protectionviacontainmentofuntrustedexecutablecode."
"Dr.Web","Dr.WebAnti-virus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes*","Yes","Yes","Yes","Yes","Yes","Proprietary","Trialware","1992","Russia","IgorDanilov","*macOS/Linuxfeatureonly"
"Dr.Web","Dr.WebSecuritySpace","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Trialware","2006","Russia","IgorDanilov",""
"ESET","ESETNOD32Antivirus","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","Proprietary","Trialware","1987","Slovakia","PeterPaškoandMiroslavTrnka",""
"ESET","ESETSmartSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Proprietary","Trialware","2007","Slovakia","PeterPaškoandMiroslavTrnka",""
"F-Secure","F-SecureAntivirus","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary","Non-free","1991","Finland","PetriAllasandRistoSiilasmaa","Third-partyantivirusengine(Bitdefender)"
"F-Secure","F-SecureSAFE","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2004","Finland","PetriAllasandRistoSiilasmaa","Third-partyantivirusengine(Bitdefender)"
"FRISKSoftware","F-PROTAntivirus","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary","Trialware","1989","Iceland","FriðrikSkúlason(secondenginealsowithDr.VesselinBontchev)","EOL2021"
"Fortinet","FortiClient","Yes","Yes","Yes","No","No","Yes","No","No","?","No","No","Yes","No","Yes","Yes","?","?","Proprietary","Non-free","2004","UnitedStates","",""
"GDataCyberDefense","GDATAAntiVirus","Yes","Yes","Yes","Yes","No","No","No","No","?","No","No","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","1987","Germany","AndreasLüningandKaiFigge","Third-partyantivirusengine(GData+Bitdefender)"
"GDataCyberDefense","GDATAInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2004","Germany","AndreasLüningandKaiFigge","Third-partyantivirusengine(GData+Bitdefender)"
"GDataCyberDefense","GDATATotalSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Proprietary","Non-free","2004","Germany","AndreasLüningandKaiFigge","Third-partyantivirusengine(GData+Bitdefender)"
"KasperskyLab","KasperskyAnti-Virus","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","Yes","No","Yes","Yes","?","?","Proprietary","Non-free","1997","Russia","EugeneKasperskyandNataliaKaspersky","BannedbyUSG"
"KasperskyLab","KasperskyInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2007","Russia","EugeneKasperskyandNataliaKaspersky","BannedbyUSG"
"KasperskyLab","KasperskyTotalSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Proprietary","Non-free","","Russia","EugeneKasperskyandNataliaKaspersky","BannedbyUSG"
"Malwarebytes","Malwarebytes","Yes","Yes","","","","","","","","","","Yes","","","Yes","","","Proprietary","","2008","UnitedStates","MarcinKleczynskiandBruceHarrison",""
"McAfee","McAfeeAntivirus","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary","Non-free","1987","UnitedStates","JohnMcAfee","JohnMcAfee""uninstallvideo""scandal"
"McAfee","McAfeeInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2006","UnitedStates","JohnMcAfee","JohnMcAfee""uninstallvideo""scandal"
"Microsoft","WindowsDefender","Yes","Yes","No","NoOnlyWindows10","No","NoexceptingWindowsFirewall","No","No","?","No","No","No","No","Yes","Yes","No","?","Proprietary","Free","2012","UnitedStates","",""
"NANOSecurityLtd","NANOAntivirus","Yes","Yes","No","Yes","No","No","No","No","?","Yes","No","Yes","No","Yes","Yes","No","?","Proprietary","Free","2009","Russia","",""
"NortonLifelock(formerlySymantec)","NortonInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2000","UnitedStates","","WhitelistsFBIbackdoorscandal"
"NortonLifelock(formerlySymantec)(originallyPCTools)","SpywareDoctorwithAntiVirus","Yes","Yes","No","No","No","No","No","No","?","No","No","Yes","No","Yes","No","?","?","Proprietary","Non-free","2003","UnitedStates","",""
"PandaSecurity","PandaAntivirusPro","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","No","Yes","No","Yes","Yes","Yes","?","?","Proprietary","Non-free","1990","Spain","MikelUrizarbarrena",""
"PandaSecurity","PandaInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2002","Spain","MikelUrizarbarrena",""
"PandaSecurity","PandaAntivirusFree","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","No","No","Yes","Yes","Yes","Yes","?","?","Proprietary","Trialware","2009","Spain","",""
"Qihoo360","360TotalSecurity","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","?","?","Proprietary","Free","2006","China","",""
"Sophos","SophosAnti-Virus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary","Non-free","1988","UnitedKingdom","JanHruskaandPeterLammer",""
"Sophos","SophosEndUserProtection","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2000","UnitedKingdom","JanHruskaandPeterLammer",""
"TrendMicro","TitaniumAntivirusPlus","Yes","Yes","Yes","Yes","No","No","No","No","?","No","Yes","No","No","Yes","Yes","?","?","Proprietary","Non-free","1990","Japan","",""
"TrendMicro","TitaniumInternetSecurity","Yes","Yes","Yes","Yes","Yes","No","No","No","?","No","No","Yes","No","Yes","Yes","?","?","Proprietary","Non-free","2008","Japan","",""
"VirusBlokAda","Vba32AntiVirus","Yes","Yes","No","No","No","No","No","No","?","No","No","No","No","No","No","?","?","Proprietary","Non-free","2010","Belarus","",""
"Company","Software","On-demandscan","On-accessscan","Boot-timescans","Heuristics","CloudAV","Firewall","IDS","IPS","Sandbox","EmailSecurity","AntiSpam","Webprotection","Macroprotection","Live-Update","Support","SettingsImport/Export","installer/updaterMIMAsafe","License","Price","Firstrelease","Countryoforigin","Originalauthor/s","Notes"
