"Name","Developer","Initialrelease","Initialrelease","Latestrelease","Platform","Latestrelease","License","Cost"
"Name","Developer","Version","Platform","Date","License","Cost","Version","Date"
"XandrosFileManager","XandrosCorporation","","?","","4.2","2007-07-26","Proprietary","Bundled"
"Xfe","RolandBaudin","","2002","","1.44","2021-03-14","GPL","Nocost"
"Xfile","Rixstep","","2003-03-02","macOS","2.1.0.10","2010-02-14","Proprietary","US$79.00"
"Xfm","SimonMarlowAlbertGräfTillStraumannRobertVogelgesangJuanD.Martin","","1992","","1.4.3","2001-09-03","GPL-2.0-or-later","Nocost"
"xplorer²","NikosBozinis","","2004-06-10","Windows","5.0.0.0","2021-02-28","Proprietary","US$29.95-49.95"
"XTree","JefferyC.Johnson","","1985-04-01","DOS","","1992","Proprietary","US$39.95"
"XTree","JefferyC.Johnson","","1992","Windows","","1992","Proprietary","US$39.95"
"XYplorer","DonaldLessau","","1997","Windows","20.80.0100","2020-02-13","Proprietary","US$39.95-79.95"
"ZTreeWin","KimHenkel","","1996","Windows","2.2.19","2011-05-27","Proprietary","US$29.95(1-4)"
"Name","Developer","Initialrelease","Initialrelease","Latestrelease","Platform","Latestrelease","License","Cost"
"Name","Developer","Version","Platform","Date","License","Cost","Version","Date"
