"Software","Platform","License","Latestversion","Lastreleaseyear","Size(MB)","Description","Number","Supportedmetadatastandards","Supportedfileformats","Supportedfileformats","Supportedfileformats","Supportedmetadatastandards","Supportedmetadatastandards","Supportedmetadatastandards","Supportedmetadatastandards","Supportedmetadatastandards","Supportedfileformats"
"JBrout","Linux,Windows","GPL","0.3.359,0.3.282","20132010","1.320.8","Allowstodropquicklyandeasilytagsoverselectedimagesdirectlybytypingthemonthekeyboard.Pluginable.","?","RDEW","RDEW","RDEW","RDEW","-","-","Yes","-","-","-"
"JExifViewer","Linux,Windows","GPL","1.8","2010","5.3","ViewEXIFinformationstoredinJPEGfiles.","N/A","R","R","-","-","-","-","Yes","-","-","-"
"JPEG&PNGStripper","Windows","Freeware","1.5.7.70","2014","0.1","Atoolforstripping/cleaning/removingunnecessarymetadata.","N/A","D","D","D","D","D","D","Yes","-","-","Yes"
"JPEGCommentEditor","Windows","FreewareandShareware","1.0","2015","1.0","Softwareforcreating,viewing,editing,andsavingmetadataastextfileforyourphotos.","?","-","-","-","-","-","-","Yes","-","-","-"
"Metadata++","Windows","Freeware","1.22.4","2020","1.2","Edit,modify,add,deleteanymetadatafromaudio,video,photo,text...",">200","RDEW","RDEW","RDEW","RDEW","RDEW","RDEW","Yes","Yes","Yes","Yes"
"MAT","LinuxMacOS","GPLv2","0.5.2","2014","3.1","ToolboxcomposedofaGUIapplication,aCLIapplicationandalibrary,toanonymize/removemetadata","N/A","D","D","D","D","D","D","Yes","Yes","Yes","Yes"
"MetadataFox","Windows","Shareware","1.1","2010","0.4","AtooltoexplorefilesbytheirXMPmetadata.","N/A","-","-","-","R","-","-","Yes","-","-","Yes"
"MetadataTouch","Windows","Shareware","5.2","2011","0.6","AtooltoviewandeditIPTCandXMPmetadata.","70","-","-","EW","EW","-","-","Yes","-","-","Yes"
"MetaEditor","Windows","Freeware","3.3.0.0","2014","7.1","Allowsyoureadandeditmetadatawithinyourdigitalphotos.",">200","REW","REW","REW","REW","-","-","Yes","Yes","-","-"
"Metalith","Windows","Freeware","10.09","2021","16.6","Allowsyouread,analyzeandeditmetadata.Themainfeatureoftheprogramistheabilitytosimultaneouslyeditanynumberoffiles.",">200","RDEW","RDEW","RDEW","RDEW","D","R","Yes","Yes","Yes","Yes"
"OpandaPowerExif","Windows","Shareware","1.22","2013","1.6","ApowerfulGUItoolwithbatchprocessingtoeditEXIF/GPSdataandcompletelyremovealldata(includeEXIF)inimages.",">130","REW","REW","-","-","-","-","Yes","Yes","-","-"
"PhotoME","Windows","Freeware","0.8ß2","2009","3.1","Showandeditthemetadataofimagefiles,analyzeandmodifyEXIFandIPTC-NAAdata,andanalyzeICCprofiles.",">200","REW","REW","RE","-","REW","R","Yes","Yes","Yes","Yes"
"QuickImageComment","Windows","GPLv3","4.35","2019","15.8","Showsimagesandeditmetadatausingexiv2library;GPSdatacanbeshownandmodifiedonamap;optimisedtoeditcomments.",">200","REW","REW","REW","REW","REW","-","Yes","Yes","Yes","-"
"VRmeta","Linux,MacOS,Windows","Paidsubscription","1.0","2018","11.9","Add.xmpmetadata,embedin-frametime-basedmetadata,exportas.csvor.xmp,embedIPTCkeywordsandcaptions.",">unlimited","REW","REW","REW","REW","?","?","?","?","?","?"
"XnView","Linux,MacOS,Windows","Freeware(forprivateandeducationaluse)","2.45","2018","4.6to14.6","Pictureviewer,editorwithslideshow,scanmodule,addons",">31","RD","?","RDEW","DEW","?","R","Yes","Yes","Yes","Yes"
"Picvario","Webbrowser","Proprietary,TrialAvailable","1.25","2021","-","DigitalAssetManagementsystemhelpingstore,searchandmanagemediafiles.SupportsEXIF/IPTC/XMPmetadatastandardswiththeabilitytoviewandedit.Allowsdeterminingaccessrights.Enrichesmetadatausingartificialintelligence.",">200","RDEW","RDEW","RDEW","RDEW","-","-","Yes","Yes","Yes","Yes"
