"Language","Originalpurpose","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Otherparadigms","Standardized?"
"Clean","General","No","No","Yes","No","Yes","No","No","","No"
"Clojure","General","No","No","Yes","No","No","No","No","Concurrent","No"
"CLU","General","Yes","Yes","No","Yes","Yes","No","No","","No"
"COBOL","Application,business","Yes","Yes","No","Yes","No","No","No","","Yes1968ANSIX3.23,1974,1985;ISO/IEC1989:1985,2002,2014"
"Cobra","Application,business,general,web","Yes","Yes","Yes","No","Yes","Yes","No","","No"
"ColdFusion(CFML)","Web","No","Yes","No","Yes","No","No","No","","No"
"CommonLisp","General","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Extensiblesyntax,Array-oriented,syntacticmacros,multipledispatch,concurrent","Yes1994,ANSI"
"COMAL80","Education","Yes","No","No","Yes","No","No","No","","No"
"Crystal","Generalpurpose","Yes","Yes","Yes","Yes","No","No","No","Alphastage","No"
"Curry","Application","No","No","Yes","No","Yes","No","No","lazyevaluation,non-determinism","DefactostandardviaCurryLanguageReport"
"Cython","Application,general,numericalcomputing","Yes","Yes","Yes","No","No","Yes","No","Aspect-oriented","No"
"D","Application,system","Yes","Yes","Yes","Yes","Yes","Yes","No","Generative,concurrent","No"
"Dart","Application,web,server-side,mobile,IoT","Yes","Yes","Yes","Yes","Yes","No","Yes","Structured","YesECMA-408standard"
"Dylan","Application","No","Yes","Yes","No","No","No","No","","No"
"Eiffel","General,application,business,client-side,server-side,web(EWF)","Yes","Yes","Yes","No","Yes","YesErl-G","YesAgents","DistributedSCOOP,Void-safe","Yes2005,ECMA,ISO"
"ELAN","Education","Yes","No","No","Yes","No","No","No","Structured,stepwiserefinement","No"
"Elixir","Application,distributed","No","No","Yes","No","No","Yes","Yes","Concurrent,distributed","No"
"Erlang","Application,distributed","No","No","Yes","No","No","Yes","Yes","Concurrent,distributed","No"
"Euphoria","Application","No","No","No","Yes","No","Yes","No","","No"
"Factor","General","Yes","No","Canbeviewedas","No","Yes","Yes","No","Stack-oriented","No"
"FP","","No","No","Yes","No","No","No","No","","No"
"F#","Application","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","No"
"Forth","General","Yes","No","Canbeviewedas","No","No","No","No","Stack-oriented","Yes1994,ANSI"
"Fortran","Application,numericalcomputing","Yes","Yes","Yes","Yes","Yes","No","No","Array-based,vectorized,concurrent,nativedistributed/shared-memoryparallelism","Yes1966,ANSI66,ANSI77,MIL-STD-1753,ISO90,ISO95,ISO2003,ISO/IEC1539-1:2010(2008),ISO/IECJTC1/SC22/WG5N2145(2018)"
"FreeBASIC","Application,numericalcomputing","Yes","Yes","No","Yes","Yes","No","No","","No"
"Gambas","Application","Yes","Yes","No","No","No","No","Yes","","No"
"GameMakerLanguage","Application,gameprogramming","Yes","Yes","No","No","No","No","Yes","","No"
"GLBasic","Application,games","Yes","Yes","No","Yes","No","No","No","Simpleobject-oriented","No"
"Go","Application,web,server-side","Yes","Canbeviewedas","No","Yes","Yes","Yes","Yes","Concurrent","DefactostandardviaGoLanguageSpecification"
"Gosu","Application,general,scripting,web","Yes","Yes","No","No","Yes","Yes","No","","No"
"GraphTalk","Application","No","Yes","No","No","No","No","No","Logic","No"
"Groovy","Application,general,scripting,web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Meta-programming","Inprogress,JCP"
"Harbour","Application,business,dataprocessing,general,web","Yes","Yes","Yes","Yes","Yes","Yes","No","Declarative","No"
"Haskell","Application","No","No","Yes","No","Yes","No","No","Lazyevaluation","Yes2010,Haskell2010"
"Haxe","Application,general,web","Yes","Yes","Yes","No","Yes","Yes","No","","No"
"HyperNext","Application,education","No","No","No","Yes","No","No","Yes","Weaklytyped","No"
"HyperTalk","Application,RAD,general","No","Yes","No","No","No","No","Yes","Weaklytyped","Unknown"
"Io","Application,host-drivenscripting","Yes","Yes","No","No","No","No","No","","No"
"IPL","General","No","No","Yes","No","No","No","No","","Unknown"
"ISLISP","General","Yes","Yes","Yes","No","Yes","No","No","","Yes1997,2007,ISO"
"J","Dataprocessing","No","No","No","No","No","No","No","Array-oriented,function-level,tacit","No"
"JADE","Application,distributed","Yes","Yes","No","No","No","No","No","","No"
"Java","Application,business,client-side,general,mobiledevelopment,server-side,web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent","DefactostandardviaJavaLanguageSpecification"
"JavaScript","Client-side,server-side,web","Yes","Yes","Yes","Yes","No","Yes","Yes","prototype-based","Yes1997-2021,ECMA-262"
"Joy","Research","No","No","Yes","No","No","No","No","Stack-oriented","No"
"Julia","General,technicalcomputing","Yes","Yes","Yes","Yes","Yes","Yes","No","Multipledispatch,meta,scalarandarray-oriented,parallel,concurrent,distributed(""cloud"")","No"
"K","Dataprocessing,business","No","No","No","No","No","No","No","Array-oriented,tacit","Unknown"
"Kotlin","Application,mobiledevelopment,server-side,client-side,web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","No"
"Ksh","Shell,scripting","Yes","Yes","No","Yes","No","No","No","Severalvariants,customprogrammable,dynamicloadablemodules","Yes1992,POSIX.2"
"LabVIEW(G)","Application,industrialinstrumentation-automation","Yes","Yes","Yes","No","No","No","Yes","Dataflow,visual","No"
"Lisp","General","No","No","Yes","No","No","No","No","","Unknown"
"LiveCode","Application,RAD,general","No","Yes","No","No","No","No","Yes","Weaklytyped","No"
"Logtalk","Artificialintelligence,application","No","Yes","No","No","No","Yes","Yes","Logic","No"
"LindenScriptingLanguage(LSL)","Virtualworldscontentscriptingandanimation","Yes","No","No","Yes","No","No","Yes","Scriptsexistinin-worldobjects","DefactoreferenceistheSecondLifeimplementationofLSL."
"Lua","Application,embeddedscripting","Yes","Yes","Yes","Yes","No","Yes","No","Aspect-oriented,prototype-based","No"
"Maple","Symboliccomputation,numericalcomputing","Yes","Yes","Yes","Yes","No","No","No","Distributed","No"
"Mathematica","Symboliclanguage","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Logic,distributed","No"
"MATLAB","Highlydomain-specific,numericalcomputing","Yes","Yes","No","Yes","No","No","No","","No"
"Modula-2","Application,system","Yes","No","No","No","Yes","No","No","","Yes1996,ISO"
"Modula-3","Application","Yes","Yes","No","No","Yes","No","No","","No"
"MUMPS(M)","General,application,databases","Yes","ApprovedfornextStandard","No","Yes","PartiallyThruIndirectionandXecute","Yes","ApprovedfornextStandard","Concurrent,multi-user,NoSQL,transactionprocessing","Yes1977ANSI,1995,ISO2020"
"Nim","Application,general,web,scripting,system","Yes","Yes","Yes","Yes","Yes","Yes","No","Multipledispatch,Concurrent,meta","No"
"Oberon","Application,system","Yes","Yes","No","No","No","No","No","","No"
"ObjectPascal","Application,general,mobileapp,web","Yes","Yes","No","Yes","Yes","Yes","Yes","Structured","No"
"Objective-C","Application,general","Yes","Yes","No","Yes","No","Yes","No","Concurrent","No"
"OCaml","Application,general","Yes","Yes","Yes","Yes","Yes","No","No","","No"
"Occam","General","Yes","No","No","Yes","No","No","No","Concurrent,process-oriented","No"
"Opa","Webapplications","Yes","No","Yes","No","Yes","No","No","Distributed","No"
"OpenLisp","General,EmbeddedLispEngine","Yes","Yes","Yes","No","Yes","No","No","","YesSupersedesISLISP,ISO"
"Oxygene","Application","Yes","Yes","No","No","Yes","No","No","","No"
"Oz-Mozart","Application,distribution,education","Yes","Yes","Yes","No","No","No","No","Concurrent,logic","No"
"Pascal","Application,education","Yes","No","No","Yes","No","No","No","","Yes1983,ISO"
"Perl","Application,scripting,textprocessing,Web","Yes","Yes","Yes","Yes","Yes","Yes","No","","No"
"PHP","Server-side,webapplication,web","Yes","Yes","Yes","Yes","No","Yes","No","","DefactostandardvialanguagespecificationandRequestsforComments(RFCs)"
"PL/I","Application","Yes","Yes","No","Yes","No","No","No","","Yes1969,ECMA-50(1976)"
"Plus","Application,systemdevelopment","Yes","No","No","Yes","No","No","No","","No"
"PostScript","Graphics,pagedescription","Yes","No","No","Yes","No","No","No","Concatenative,stack-oriented","YesAsthePostScriptReferenceManual"
"PowerShell","Administration,application,general,scripting","Yes","Yes","Yes","Yes","No","Yes","No","Pipeline","No"
"Prolog","Application,artificialintelligence","No","No","Yes","Yes","No","Yes","No","Logic,declarative","Yes1995,ISO/IEC13211-1:1995,TC12007,TC22012,TC32017"
"PureBasic","Application","No","No","No","Yes","No","No","No","","No"
"Python","Application,general,web,scripting,artificialintelligence,scientificcomputing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Aspect-oriented","DefactostandardviaPythonEnhancementProposals(PEPs)"
"R","Application,statistics","Yes","Yes","Yes","Yes","No","Yes","No","","No"
"Racket","Education,general,scripting","No","Yes","Yes","Yes","No","Yes","No","Modular,logic,meta","No"
"Raku","Scripting,textprocessing,glue","Yes","Yes","Yes","Yes","Yes","Yes","No","Aspect-oriented,array,lazyevaluation,multipledispatch,metaprogramming","Yes"
"REALbasic","Application","No","No","No","Yes","No","No","No","","Unknown"
"Rebol","Distributed","Yes","Yes","Yes","Yes","No","Yes","Yes","Dialected","No"
"REXX","Scripting","Yes","Yes(NetRexxandObjectREXXdialects)","No","Yes","No","No","No","","Yes1996(ANSIX3.274-1996)"
"RPG","Application,system","Yes","No","No","Yes","No","No","No","","No"
"Ring","Application","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Metaprogramming,Declarativeprogramming,Natural-languageprogramming","No"
"Ruby","Application,scripting,web","Yes","Yes","Yes","No","No","Yes","No","Aspect-oriented","Yes2011(JISX3017),2012(ISO/IEC30170)"
"Rust","Application,server-side,system,web","Yes","Yes","Yes","Yes","Yes","No","Yes","Concurrent","No"
"S","Application,statistics","Yes","Yes","Yes","Yes","No","No","No","","No"
"S-Lang","Application,numerical,scripting","Yes","No","No","Yes","No","No","No","","No"
"Scala","Application,distributed,web","Yes","Yes","Yes","No","Yes","Yes","Yes","","DefactostandardviaScalaLanguageSpecification(SLS)"
"Scheme","Education,general","No","No","Yes","No","No","No","No","Extensiblesyntax","Yes1998,RRS"
"Seed7","Application,general,scripting,web","Yes","Yes","No","No","Yes","Yes","No","Multi-paradigm,extensible,structured","No"
"Simula","Education,general","Yes","Yes","No","No","No","No","Yes","discreteeventsimulation,multi-threaded(quasi-parallel)programexecution","Yes1968"
"SmallBasic","Application,education,games","Yes","No","No","No","No","No","Yes","Component-oriented","No"
"Smalltalk","Application,general,business,artificialintelligence,education,web","Yes","Yes","Yes","Yes","No","Yes","Yes","Concurrent,declarative","Yes1998,ANSI"
"SNOBOL","Textprocessing","No","No","No","No","No","No","No","","Unknown"
"StandardML","Application","Yes","No","Yes","No","Yes","No","No","","Yes1997,SML'97"
"Swift","Application,general","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent,declarative,protocol-oriented","No"
"Tcl","Application,scripting,web","Yes","Yes","Yes","Yes","No","Yes","Yes","","No"
"VisualBasic","Application,RAD,education,business,general,(IncludesVBA),officeautomation","Yes","Yes","No","No","Yes","No","Yes","Component-oriented","No"
"VisualBasic.NET","Application,RAD,education,web,business,general","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Structured,concurrent","No"
"VisualFoxPro","Application","No","Yes","No","No","No","No","No","Data-centric,logic","No"
"VisualProlog","Application","Yes","Yes","Yes","No","No","No","Yes","Declarative,logic","No"
"WolframLanguage","Symboliclanguage","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Logic,distributed","No"
"XL","","Yes","Yes","No","No","No","No","No","conceptprogramming","No"
"Xojo","Application,RAD,general,web","Yes","Yes","No","Yes","No","Yes","Yes","","No"
"XPath/XQuery","Databases,dataprocessing,scripting","No","No","Yes","No","No","No","No","Tree-oriented","Yes1999W3CXPath1,2010W3CXQuery1,2014W3CXPath/XQuery3.0"
"Zeek","Domain-specific,application","Yes","No","No","No","No","No","Yes","","No"
"Zsh","Shell,scripting","Yes","No","No","Yes","No","No","No","Loadablemodules","No"
