"Graphics","Launch","Market","Processor","Codename","DeviceID","Coreclock(MHz)","Coreconfig","APIsupport","APIsupport","APIsupport","APIsupport","Memorybandwidth(GB/s)","DVMT(MB)","QSV"
"Graphics","Launch","Market","Processor","Codename","DeviceID","Coreclock(MHz)","Coreconfig","Direct3D","Memorybandwidth(GB/s)","DVMT(MB)","QSV","OpenGL","OpenCL","Vulkan"
"Mobile","HDGraphics4600","Corei5-4400ECorei7-4700EQ","2013","400–1000","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4600","Corei7-4700HQ","2013","400–1200","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4600","Corei7-4xxxMCorei7-4800MQCorei7-4900MQ","2013","400–1300","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4600","Corei7-4930MX","2013","400–1350","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphicsP4600","2013","Workstation","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","XeonE3-1225v3XeonE3-1226v3XeonE3-1245v3XeonE3-1246v3","160:20:2(GT2)","Yes","Haswell","350–1200","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphicsP4600","Workstation","XeonE3-1275v3XeonE3-1276v3","2013","350–1250","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphicsP4700","2013","Workstation","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","XeonE3-1285Lv3XeonE3-1286Lv3","160:20:2(GT2)","Yes","Haswell","350–1250","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphicsP4700","Workstation","XeonE3-1285v3XeonE3-1286v3","2013","350–1300","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics5000","2013","ULTMobile","Corei5-4250U","Haswell","04220426042A042B042EULT:0A220A260A2A0A2B0A2E","Yes","200–1000","320:40:4(GT3)","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics5000","ULTMobile","Corei5-4350UCorei7-4550UCorei7-4650U","04220426042A042B042EULT:0A220A260A2A0A2B0A2E","2013","320:40:4(GT3)","200–1100","Haswell","12FL11_1","4.34.14.5ES3.1","Yes","1.2","1.0","25.6","2048"
"IrisGraphics5100","ULTMobile","2013","04220426042A042B042EULT:0A220A260A2A0A2B0A2E","Corei3-4158UCorei5-4258U","320:40:4(GT3)","200–1100","Haswell","12FL11_1","Yes","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"IrisGraphics5100","Corei5-4288UCorei7-4558U","ULTMobile","2013","04220426042A042B042EULT:0A220A260A2A0A2B0A2E","200–1200","320:40:4(GT3)","Haswell","12FL11_1","4.34.14.5ES3.1","Yes","1.2","1.0","25.6","2048"
"IrisProGraphics5200","2013","Desktop","Corei5-4570R","Haswell","0D220D260D2A0D2B0D2E","Yes","200–1150","320:40:4+eDRAM(GT3e)","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"IrisProGraphics5200","Desktop","Corei5-4670RCorei7-4770R","0D220D260D2A0D2B0D2E","2013","320:40:4+eDRAM(GT3e)","200–1300","Haswell","12FL11_1","4.34.14.5ES3.1","Yes","1.2","1.0","25.6","2048"
"IrisProGraphics5200","Mobile","2013","0D220D260D2A0D2B0D2E","Corei7-4750HQCorei7-4850HQ","320:40:4+eDRAM(GT3e)","200–1200","Haswell","12FL11_1","Yes","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","IrisProGraphics5200","Corei7-49xxHQ","2013","0D220D260D2A0D2B0D2E","200–1300","320:40:4+eDRAM(GT3e)","Haswell","12FL11_1","4.34.14.5ES3.1","Yes","1.2","1.0","25.6","2048"
