"Name","Description","Owner","Registeredusers","Alexaranking","Free","Allfeaturesfree","Heterosexualconnections","Polygamousconnections","FreeMessaging","STD-notification"
"DOWNHookup&Dating","Onlinedatingapplicationforuserslookingforcasualrelationshipsandhookups.Userscanswipeupformoreseriousdating,swipedownforcasualhookups.","","","2,589,104","Yes","No;Morefeaturessuchasfindingoutwholikedyou.","","Aftermatch.",""
"eHarmony","Datingsitebaseduponpre-screeningusingpersonalitytests.","ProSiebenSat.1Media","","21,115","Yes","No;freeprofilebutsubscriptionrequiredformostfeaturesincludingmessaging.","Yes","?","No",""
"FacebookDating","DigitaldatingproductatFacebook","Facebook","","?","?","?","?","?","?",""
"Gaydar","Profile-baseddatingwebsiteforgayandbisexualmen,women,andcouples.","","","923,130","Yes","No;Chatandsearchisfree.","No","?","Yes",""
"GayRomeo/PlanetRomeo","Worldwidesocialnetwork,instantmessaginganddatingcommunityforgay,bisexualandtransgendermen.","","6,740,000registeredand1,107,000active(last6weeks)","707,590","Yes","No:Communication,profileandpictureviews,searchenginearefree.Videodownloads,higherdatabaselimits,deactivationofadvertisingarenot.","No","?","Yes",""
"Gleeden","Socialnetwork,instantmessaginganddatingcommunityforextra-maritalrelationships.","","","73,043","No","No:Costscreditstosendandreadmessagesunlimitednumberoftimestooneuserandpremiumgiveshigherdatabaselimits,deactivationofadvertising","Yes","?","No",""
"Grindr","GeosocialnetworkingapplicationbasedonAndroidandiOS.","SanVicenteAcquisitionLLC","3,600,000dailyactiveusersasof2018","77,133","Yes","No","No","Yes","Yes","Yes"
"Her","GeosocialnetworkingapplicationbasedonAndroidandiOSwithFacebookintegration.Menarenotallowedtocreateprofilesontheplatform.","","","9,365,703","Yes","Yes","No","?","",""
"Hily","Mobiledatingsite","","15,000,000asof2020","255,415","Yes","No","Yes","Yes(butpreliminaryheterosexual)","Aftermatch.",""
"JDate","DatingsitethatservespeopleofaJewishbackgroundaswellasthoseinterestedinthem.","SparkNetworks","","107,452","No","","Yes","?","No",""
"JSwipe","OnlinedatingapptargetedatmillennialJewishsingles.","SparkNetworks","800,000asofSeptember2016","1,432,932","Yes","No;messagingwithoutmatch","Yes","Implicitlydiscouraged","Aftermatch",""
"Lovestruck.com","OnlinedatingforsingleprofessionalsinUK,HongKongandSingapore","","300,000registeredasof2012","1,041,667","No","No","Yes","?","No",""
"Mamba","Social-network-likedatingsite,primarilyCIS/formerSovietUnion,butsomeinternationalpresence.PrimarylanguageisRussian,butalllanguageswelcome(andsearchable).Caterstoallaudiences.","","40,000,000asof2019","4,264fornamedportaland3-5%ofmail.ru(#31)andrambler.ru(#191)throughlove.mail.ruandlove.rambler.ru","Yes","No:Communication,profileandpictureviews,simplerengine,blogsarefree.Additionalsearchcriteriaanddoubleappearancesinothers'relevantsearchesfor""VIPmembership"".Singlepaymentsforregionaladvertisingofprofile(one-timeappearanceinscrollingbannerfor$1–userpicture,link,shorttextformouseover;biddingwarforstationarysecondbanner+costof$1/minute).","Yes","?","Yes",""
"Manhunt","Profile-baseddatingwebsiteformenseekingmen","","","28,291","Yes","No.Messaging,search,20profileviewsperday,videochatisfree.ManhuntVIPincludesunlimitedprofileviews,viewfull-sizedprofilephotos,unlimitedbuddies,unlimitedblocks,savedsearches","No","Yes","Yes","Yes"
"Match.com","","IAC","96,000,000registeredasof20101,377,000active(2009)","2,113","No","No","Yes","?","No",""
"Meetic","Europeanonlinedatingservice","IAC","42,000,000registeredasof2011","67,919","No","No","Yes","","",""
"Moonit","Offerscompatibilitymatchaccordingtouser'birthdate.","","2,000,000registeredasof2014","747,471","Yes","No","Yes","?","Partial",""
"OkCupid(OkC)","Usesanswersfromuser-generatedquestionstofindmatchesthatconformtoauser'sstatedpreferences.","IAC","30,000,000+activeasof2013","1,519","Yes","No;Freetojoin,search,messaging,andchat.Nonessentialfeatureslikesponsoredprofilepromotionavailableforpaid""A-List""members.","Yes","Yes","Aftermatch",""
"Parship","Datingsiteforpeoplelookingforalong-termrelationship,usingapersonalitytest.AvailableinEuropeandMexico.","ProSiebenSat.1Media","","224,512","Yes","No;freeprofilebutsubscriptionrequiredformostfeaturesincludingmessaging.","Yes","","No",""
"Perfectmatch.com","Thisdatingwebsiteisusingheuristicalgorithmstofindmatches.","","","2,300,989","No","No","Yes","","No",""
"POF(PlentyofFish)","DatingsitemostlyactiveinUnitedStates,Canada,UnitedKingdomandBrazil","IAC","100,000,000registeredasof2015","3,354","Yes","No;Featuressuchasseeingthedateandtimeauserviewedyourprofileandallowingyoutoseewhetherauserreadand/ordeletedyourmessage.","Yes","","Yes",""
"RightStuff","DatingsiteforgraduatesandfacultyofIvyLeague,SevenSisters,andabout50similarcollegesanduniversitiesandmedicalschools","","4900","4,522,502","No","No,$50Feefor6monthmembership,plus$3forprofileofmembersofinterest","?","?","Yes",""
"Scruff","Datingappforgayandbisexualmen","","10millionregisteredusers(2016)","339,730","Yes","No","No","Yes","Yes","Yes"
"SpeedDate.com","Formeronlinespeeddatingsite,whereusersmeetviatext,audio,andvideochat-DomainnowownedbyMatch.com-NolongeraSpeedDatingsite","","9,000,000registeredasof2010","299,586","Yes","No,Premiumuserscancontinuecommunicatingafterunlimitedfreespeeddates","Yes","","",""
"Squirt.org","Cruisingandhookupsiteformenseekingmen","","","11,898","Yes","No","No","Yes","Yes","Yes"
"Taimi","GeosocialnetworkingapplicationbasedonAndroidandiOSforLGBTQI+community.","","2,000,000+asof2019","342,235","Yes","No","Yes","Yes","Yes",""
"Tastebuds.fm","Utilizestastesinmusic","","","115,370","No","No;Subscriptionrequiredtosendorreceivemessages.","Yes","","No",""
"Tawkify","Hashumanmatchmakerswhosetupmatchesratherthanhavingusersfindeachother.","","","169,895","No","Nobasedonusercreatingactivities.","Yes","","No",""
"Tinder","Mobilesingledatingsite","IAC","50,000,000registeredasof2015","14,870","Yes","No–premiumusersgetunlimitedswipes,canundoano-swipe,canbrowseinotherlocations,inadditiontosomeotherpreferencesandfeatures","Yes","?","Aftermatch",""
"Zoosk","HasanintegrationwithFacebookcommunity.","SparkNetworks","50,000,000asof2011","5,153","Yes","No;Searchingandviewingpartialprofilesisincludedwithfreeaccountlikemostdatingsites,feeormonthlysubscriptionforfullcommunicationwithothermembers.","Yes","","No",""
