"","stringtointeger","stringtolonginteger","stringtofloatingpoint","integertostring","floatingpointtostring"
"Go","integer,error=strconv.Atoi(string)integer,error=strconv.ParseInt(string,10,0)","long,error=strconv.ParseInt(string,10,64)","float,error=strconv.ParseFloat(string,64)","string=strconv.Itoa(integer)string=strconv.FormatInt(integer,10)string=fmt.Sprint(integer)","string=strconv.FormatFloat(float)string=fmt.Sprint(float)"
"Rust","string.parse::<i32>()i32::from_str(string)","string.parse::<i64>()i64::from_str(string)","string.parse::<f64>()f64::from_str(string)","integer.to_string()","float.to_string()"
"CommonLisp","(setfinteger(parse-integerstring))","(setfinteger(parse-integerstring))","(setfstring(princ-to-stringnumber))","(setffloat(read-from-stringstring))","(setfstring(princ-to-stringnumber))"
"Scheme","(definenumber(string->numberstring))","(definestring(number->stringnumber))","(definenumber(string->numberstring))","(definenumber(string->numberstring))","(definestring(number->stringnumber))"
"ISLISP","(setfinteger(convertstring<integer>))","(setfinteger(convertstring<integer>))","(setfstring(convertnumber<string>))","(setffloat(convertstring<float>))","(setfstring(convertnumber<string>))"
"Pascal","integer:=StrToInt(string);","","float:=StrToFloat(string);","string:=IntToStr(integer);","string:=FloatToStr(float);"
"VisualBasic","integer=CInt(string)","long=CLng(string)","float=CSng(string)double=CDbl(string)","string=CStr(number)",""
"VisualBasic.NET(canusebothVBsyntaxaboveand.NETmethodsshownright)","integer=Integer.Parse(string)","long=Long.Parse(string)","float=Single.Parse(string)double=Double.Parse(string)","string=number.ToString()","string=number.ToString()"
"Xojo","integer=Val(string)","long=Val(string)","double=Val(string)double=CDbl(string)","string=CStr(number)orstring=Str(number)","string=CStr(number)orstring=Str(number)"
"Python","integer=int(string)","long=long(string)","float=float(string)","string=str(number)","string=str(number)"
"S-Lang","integer=atoi(string);","long=atol(string);","float=atof(string);","string=string(number);","string=string(number);"
"Fortran","READ(string,format)number","WRITE(string,format)number","READ(string,format)number","READ(string,format)number","WRITE(string,format)number"
"PHP","integer=intval(string);orinteger=(int)string;","integer=intval(string);orinteger=(int)string;","string=""$number"";orstring=strval(number);orstring=(string)number;","float=floatval(string);float=(float)string;","string=""$number"";orstring=strval(number);orstring=(string)number;"
"Perl","number=0+string;","string=""number"";","number=0+string;","number=0+string;","string=""number"";"
"Raku","number=+string;","string=~number;","number=+string;","number=+string;","string=~number;"
"Ruby","integer=string.to_iorinteger=Integer(string)","integer=string.to_iorinteger=Integer(string)","string=number.to_s","float=string.to_ffloat=Float(string)","string=number.to_s"
"Scala","integer=string.toInt","long=string.toLong","float=string.toFloatdouble=string.toDouble","string=number.toString","string=number.toString"
"Smalltalk","integer:=IntegerreadFrom:string","integer:=IntegerreadFrom:string","string:=numberasString","float:=FloatreadFrom:string","string:=numberasString"
"WindowsPowerShell","integer=[int]string","long=[long]string","float=[float]string","string=[string]number;orstring=""number"";orstring=(number).ToString()","string=[string]number;orstring=""number"";orstring=(number).ToString()"
"OCaml","letinteger=int_of_stringstring","","letfloat=float_of_stringstring","letstring=string_of_intinteger","letstring=string_of_floatfloat"
"F#","letinteger=intstring","letinteger=int64string","letfloat=floatstring","letstring=stringnumber","letstring=stringnumber"
"StandardML","valinteger=Int.fromStringstring","","valfloat=Real.fromStringstring","valstring=Int.toStringinteger","valstring=Real.toStringfloat"
"Haskell(GHC)","number=readstring","string=shownumber","number=readstring","number=readstring","string=shownumber"
"COBOL","MOVE«FUNCTION»NUMVAL(string)TOnumber","MOVEnumberTOnumeric-edited","MOVE«FUNCTION»NUMVAL(string)TOnumber","MOVE«FUNCTION»NUMVAL(string)TOnumber","MOVEnumberTOnumeric-edited"
