"Name","Operatingsystems","License","Protocols","Encryption","Notablefeatures","Targetmarkets","Latestrelease"
"GNUGatekeeper","Linux,FreeBSD,macOS,WindowsXP-2000-Vista-7","GPL","H.323","H.235","H.460.18firewalltraversal,routing,accounting","videoconferencing,VoIPcarrierslargeandsmall","3.7;August15,2014;7yearsago(2014-08-15)"
"HEROHostedPBX","Linux,Windows","Proprietary","SIP","TLS,SRTP","UnifiedCommunications,billingserver,cloud-basedmanagementandwebinterface","Mid-largeenterprises,VoIPcarriersandserviceproviders,telecomoperators","4.3;December2013;8yearsago(2013-12)"
"KerioOperator","Linux,VM","Proprietary","SIP","SSL,TLS,SRTP","integratedfirewall,Autoattendant,Callqueues,Conferencecalling,Callforwarding,pickup,parking,recording,ClicktoCall,Videocalling,Faxsupport,Paging,Salesforce.comandCRMintegration,Voicemailtoemail,complementarydesktopSoftphoneapp","SME","2.5.2;November15,2016;5yearsago(2016-11-15)"
"MediaCoreSBC","Linux","Proprietary","H.323,SIP,SMPP,HTTP","SSL,TLS,HTTPS","Dynamicroutingmechanisms:LCR,jurisdictionalandorigin-based;integratedbilling,SIP-H.323protocolconverter,transcoding,revenueassurance,SBC,fullandmediaproxies,wholesalemessagingandSMShubbing","TransitVoIPservicesproviders,VoIPwholesalecarriers,VoIPterminationproviders,Wholesalemessagingproviders","4.8;February2021;1yearago(2021-02)"
"Murmur","Linux,BSD,macOS,Windows","BSD,GPL","CELT,Speex,Opus","TLS","Chatwith(limited)embeddedHTML,ACLsforusermanagement,CustomizableIn-GameOverlay,DirectionalAudio,PluginSupport,NestedChannels","IndividualstoSmallandmediumenterprise(25-5000users)","1.2.17;September24,2016;5yearsago(2016-09-24)"
"Mysipswitch","Linux","BSD","SIP,Ajax","SSL","SIPproxyserverwhichallowstheuseofmultipleSIPaccountswithasingleSIPlogin","Individuals","August2007;14yearsago(2007-08)"
"ObjectworldUCServer","WindowsXP-2003-2008","Proprietary","SIP","No","IPPBX,personalassistants,IVR,automatedphoneprovisioning,faxserver,unifiedmessaging,Outlook,ExchangeandLotusDomino-Notesintegration,conferencing,outbounddialing","Smallandmediumenterprise(25-2000users)","4.4.2;May2009;12yearsago(2009-05)"
"Kamailio,OpenSIPS(formerlynamedOpenSER)","Linux,BSD,Solaris","GPL","SIP,XMPP","TLS,SRTP","SIPregistrar-proxy,authentication,Diameter,RADIUS,ENUM,least-cost-routing,manyothers","SIPServiceProviders","5.2.8;October2020;1yearago(2020-10)"
"Pbxnsip","Linux,BSD,macOS,Windows","Proprietary","SIP","SRTP","IPPBX,presenceindication,IVR,automatedphoneprovisioning,faxserver,unifiedmessaging,Outlook,Exchangeintegration,conferencing,outbounddialing","Smallandmediumenterprise(25-256users)","3.3.1.3177;April2009;12yearsago(2009-04)"
"SIPExpressRouter(SER)","Linux,BSD,Solaris","GPL","SIP","No","SIPRegistrar/Proxy,Authentication,Diameter,RADIUS,ENUM,manyothers","SIPServiceProviders","2.0.0Ottendorf"
"sipXecsIPPBX","Linux","AGPL","NativeSIPcallcontrol,XMPP","TLS,SRTP","Fullredundancy(HA),instantmessaging,voicemail,userportal,adminGUI,plug&playmanagementincludingphonesandgateways,fullyfeatured","Enterprisesbetween10and10,000users,multi-site","14.04.2;July2014;7yearsago(2014-07)"
"vzRoom","Windows","Proprietary","SIP","SSL,TLS,AES","Instantmessaging-chat,VoIP,video,sharing(desktop,video,file),whiteboard,scheduler,recording","Individualtosmallandmediumenterprise(2-1,000users)","0.8.8.735;November2010;11yearsago(2010-11)"
"Yate","BSD,Linux,macOS,Windows","GPL","SIP,IAX,H.323,ISDN,XMPP(Jabber),Jingle(GoogleTalk),MGCP,SS7overIP,CiscoSLT(SignallingLinkTransport)(SS7MTP2backhauloverIP),SCTP,SCCP,TCAP,MAPCAMEL","SSL,TLS,SRTP","Voice,video,filetransfer,data,H323toSIPsignallingproxy,instantmessaging,IVR,PC2PhoneandPhone2PCgateway,SCCP—GTTroutingbetweennetworks,SecureUnifiedCommunications,SIPregistrar-proxy,SIPSBC(sessionbordercontroller),USSD,voicemail,VoIP,VoIPtoPSTNgateway,conferenceserver(max200voicechannelsperconference),callcentreserver,prepaidandpostpaidcards","Deployedonhomeserversandlargenetworkswithmillionsofusers","6.3;February2021;1yearago(2021-02)"
