"selectors-4","E:future","No","No","No","Time-dimensional:future","No","No","No"
"selectors-4","E:nth-match(nofselector)","No","No","No","Nchildof","No","No","No"
"selectors-4","E:nth-last-match(nofselector)","No","No","No","Nlastchildof","No","No","No"
"selectors-4","E:column(selector)","No","No","No","Column","No","No","No"
"selectors-4","E:nth-column(n)","No","No","No","Ncolumn","No","No","No"
"selectors-4","E:nth-last-column(n)","No","No","No","Nlastcolumn","No","No","No"
"selectors-4","E:placeholder-shown","No","No","No","placeholdertext","No","No","No"
"selectors-4","E:active-drop","No","No","No","willreceivetheitem","No","No","No"
"selectors-4","E:valid-drop","No","No","No","couldreceivetheitem","No","No","No"
"selectors-4","E:invalid-drop","No","No","No","cannotreceivetheitem","No","No","No"
"Pseudo-elements","Pseudo-elements","Pseudo-elements","Pseudo-elements","Pseudo-elements","Pseudo-elements","Pseudo-elements","Pseudo-elements","Pseudo-elements"
"CSS2","E:first-letter","Firstletter","9.0","12","1.0","85","Yes","1.0"
"CSS2","E:first-line","Firstline","9.0","12","1.0","Partial","Yes","1.0"
"CSS2","E:before","Before","8.0","12","1.9.1","Partial","Yes","1.0"
"CSS2","E:after","8.0","1.9.1","Partial","After","12","Yes","1.0"
"selectors-3","E::before","Doublecolonnotation","9.0","12","1.9.1","Partial","3.4","1.0"
"selectors-3","E::after","Doublecolonnotation","9.0","12","1.9.1","Partial","3.4","1.0"
"selectors-3","E::first-letter","Doublecolonnotation","9.0","12","1.5","85","3.4","1.0"
"selectors-3","E::first-line","1.5","Doublecolonnotation","9.0","12","Partial","3.4","1.0"
"css-pseudo-4","E::marker","listmarker","No","No","No","No","No","No"
"css-pseudo-4","E::selection","Selection","9.0","12","Experimental","412","3.4","2.1"
"CSSUIpseudoelements","E::value","userinterfaceelementfragments","No","No","No","No","No","No"
"CSSUIpseudoelements","E::choices","userinterfaceelementfragments","No","No","No","No","No","No"
"CSSUIpseudoelements","E::repeat-item","userinterfaceelementfragments","No","No","No","No","No","No"
"CSSUIpseudoelements","E::repeat-index","userinterfaceelementfragments","No","No","No","No","No","No"
"","","","MSHTML","EdgeHTML","Gecko","WebKit","KHTML","Presto"
