"Maker","Model","Introyear","Screensize(inch)","Self-lit","Screentype","Dimensions(HxWxD)","Weight","Screenpixels","Pixeldensity(inpixelsperinch)","Touchscreen","ButtonforPage-turn","Wirelessnetwork","Text-to-speech","Folders","Internalstorage","microSDHC","Webbrowser","LibraryDRMcompatible","USBContentManagement","HeadphoneJack","Waterproof"
"Tolino","tolinoepos2","2019","8in","Yes","EInkCarta","159x177,5x3,9mm","195g","1440×1920","300ppi","Yes","Yes","Wi-Fi(b/g/n)","No","Yes","8GB(6GBavailableforuser)+25GBtolinocloud","No","Yes","Yes","Yes","",""
"Elonex","621EB","2009","6in","No","EInk","","180g(6.3oz)","600×800","167ppi","No","Unknown","No","No","No","1GB","Yes","No","Yes","No","",""
"IcarusReader","IcarusExcel","2012","9.7in","No","EInkPearl","","530g(19oz)","825×1200","150ppi","No","Yes","Wi-Fi","Yes","Unknown","4GB","Yes","Yes","Unknown","Unknown","",""
"IcarusReader","Icarus8","2013","8in","No","ePaper","","300g(10.5oz)","768×1024","160ppi","No","Unknown","Wi-Fi","Unknown","Yes","4GB","Yes","Unknown","Yes","Unknown","",""
"IcarusReader","IcarusEssence","2013","6in","No","ePaper","","220g(7.8oz)","600x800","167ppi","No","Unknown","Wi-Fi","Unknown","Yes","4GB","Yes","Unknown","Yes","Unknown","",""
"IcarusReader","IcarusSenseG2","2011","6in","No","EInk","","220g(7.8oz)","600×800","167ppi","Yes","Unknown","Wi-Fi","No","Yes","2GB(1.3GB)","Yes","Yes","Yes","Unknown","",""
"IcarusReader","IlluminaPro","2016","9.7in","Yes","EInkPearlHD","","220g(7.8oz)","825x1200","150ppi","Yes","Yes","Wi-Fi","No","Yes","16GB(11GB)","Yes","Yes","Yes","Yes","",""
"Iriver","IriverStoryHD","2011","6in","No","EInkPearl","","207g(7.3oz)","768×1024","213ppi","No","Yes","Wi-Fi","No","Yes","2GB","SDHC","No","Yes","Yes","",""
"JinKe","HanlinV5","2009","5in","No","EInk","","160g(5.6oz)","600×800","200ppi","No","Unknown","No","Yes","Unknown","512MB","SDHC16GB","No","Unknown","Unknown","",""
"Boyue","BoyueLikebookPlus","2017","7.8in","Yes","EInkCarta","198x144x8.3mm","290g(10.2oz)","1404x1872","300ppi","Yes","No","Wi-Fi","No","Unknown","16GB","No","Yes","PDF,EPUB,FB2,RTF,MOBI,TXT,HTML/HTM,DJVU/DJV,JPG,PNG,etc.","Yes","",""
"Icarus","IcarusIlluminaXLHD","2017","7.8in","Yes","EInkCarta","200x145x9mm","275g(9.7oz)","1404x1872","300ppi","Yes","No","Wi-Fi","No","Unknown","16GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboNia","2020","6in","Yes","EInkCarta","112.4x159.3x9.2mm","172g(6.06oz)","1024x758","212ppi","Yes","No","Wi-Fi","No","shelves","8GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboClaraHD","2018","6in","Yes","EInkCarta","195.1x138.5x6.9mm","166g(5.8oz)","1072x1448","300ppi","Yes","No","Wi-Fi","No","shelves","8GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboAuraOne","2016","7.8in","Yes","EInkCarta","195.1x138.5x6.9mm","230g(8.1oz)","1404x1872","300ppi","Yes","No","Wi-Fi","No","shelves","8/32GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboAuraEdition2","2016","6in","Yes","EInkCarta","159x113x8.5mm","180g(6.3oz)","768x1024","212ppi","Yes","No","Wi-Fi","No","shelves","4GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboTouch2.0","2015","6in","Yes","EInkPearl","","185g(6.5oz)","600x800","167ppi","Yes","No","Wi-Fi","No","shelves","4GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboGloHD","2015","6in","Yes","EInkCarta","","180g(6.3oz)","1072×1448","300ppi","Yes","No","Wi-Fi","No","shelves","4GB","No","Yes","Yes","Yes","",""
"KoboInc.","KoboAuraH2O","2014","6.8in","Yes","EInkCarta","179x129x9.7mm","233g(8.2oz)","1080×1430","265ppi","Yes","No","Wi-Fi","No","shelves","4GB","Yes","Yes","Yes","Yes","",""
"KoboInc.","KoboAuraHD","2013","6.8in","Yes","EInkPearl","","240g(8.5oz)","1080×1440","265ppi","Yes","No","Wi-Fi","No","shelves","4GB","Yes","Yes","Yes","Yes","",""
"KoboInc.","KoboAura","2013","6in","Yes","EInkPearl","","174g(6.1oz)","758x1024","212ppi","Yes","No","Wi-Fi","No","shelves","4GB","Yes","Yes","Yes","Yes","",""
"Kolporter","eClicto","2007","6in","No","EInk","","174g(6.1oz)","600×800","167ppi","No","Unknown","No","No","Unknown","512MB","SD","No","Unknown","Unknown","",""
"Manta","Ebook04","2014","6in","No","EInk","","Unknown","600×800","167ppi","No","Yes","Wi-Fi","No","Yes","4GB","upto32GB","Yes","Yes","Yes","",""
"OnyxInc.","BOOXC65Storia","2013","6in","No","EInk","","186g(8.4oz)","758x1024","212ppi","Yes(Capacitive)","No","Wi-Fi","Yes","Yes","4GB","Yes","Unknown","No","Yes","",""
"OnyxInc.","BOOXC65AfterGlow","2013","6in","Yes","EInk","","186g(8.4oz)","758x1024","212ppi","Yes(Capacitive)","No","Wi-Fi","Yes","Yes","4GB","Yes","Unknown","No","Yes","",""
"OnyxInc.","BOOXM92/92SBlackPearl","2011","9.7in","No","EInkPearl","","520g(18oz)","825×1200","150ppi","Stylus","Yes","Wi-Fi","Yes","Yes","4GB","Yes","Yes","No","Yes","",""
"OnyxInc.","BOOXM96","2014","9.7in","No","EInkPearl","","520g(18oz)","825×1200","150ppi","Stylus","Yes","Wi-Fi,Bluetooth4.0LowEnergy","Yes","Yes","4GB","upto32GBSDCard","Yes","Yes","Yes","",""
"OnyxInc.","BOOXT68Lynx","2014","6.8in","Yes","EInkPearl","","236g(8.325oz)","1080x1440","265ppi","Yes(Capacitive)","Yes","Wi-Fi,Bluetooth4.0LowEnergy","Yes","Unknown","4GB","upto32GB","Yes","Yes","Unknown","",""
"OnyxInc.","BOOXN96","2016","9.7in","Yes(MLversiononly)","EInkPearl","","443-461g(16oz)","825×1200","150ppi","Yes(N96MLonlywithStylus)","Yes","Wi-Fi,Bluetooth4.0LowEnergy","Yes","Yes","16GB","upto32GBSDCard","Yes","Yes","Yes","",""
"OnyxInc.","BOOXMax","2016","13.3in(letter=13.9in,A4=14.3in)","No","EInkMobius","","496g(17.5oz)","1200×1600","150ppi","Stylus","Yes","Wi-Fi,Bluetooth4.0LowEnergy","Yes","Yes","16GB","upto32GBSDCard","Yes","Yes","Yes","",""
"OnyxInc.","BOOXMaxCarta","2017","13.3in(letter=13.9in,A4=14.3in)","No","EInkCarta","","550g(19.5oz)","1650×2200","207ppi","Stylus","Yes","Wi-Fi,Bluetooth4.0LowEnergy","Yes","Yes","16GB","upto32GBSDCard","Yes","Yes","Yes","",""
"PocketBook","PocketBookTouchHD3","2019","6in","Yes","EInkCarta","161,3×108×8mm","155g","1072×1448","300ppi","Yes","Yes","Wi-Fi,Bluetooth","Yes","Yes","16GB","No","Yes","Yes","Yes","",""
"PocketBook","PocketBookCADReader","2014","13.3in(letter=13.9in,A4=14.3in)","No","EInkFina","","700g","1200×1600","150ppi","Unknown","Unknown","Wi-Fi","Unknown","Unknown","16GB","upto64GB","Unknown","Unknown","Yes","",""
"PocketBook","PocketBookCADReaderFlex","2014","13.3in(letter=13.9in,A4=14.3in)","No","EInkMobius","","700g","1200×1600","150ppi","Unknown","Unknown","Wi-Fi","Unknown","Unknown","8GB","upto64GB","Unknown","Unknown","Yes","",""
"PocketBook","PocketBook360Plus","2011","5in","No","EInk","","150g(5.3oz)","600×800","200ppi","No","Unknown","Wi-Fi","Yes","Yes","2GB","Yes","Yes","Yes","Unknown","",""
"PocketBook","PocketBookPro912","2011","9.7in","No","EInk","","565g(20oz)","825×1200","150ppi","Yes","Unknown","Wi-Fi,Bluetooth","Yes","Yes","2GB(1.2GB)","Yes","Yes","Yes","Unknown","",""
"PocketBook","PocketBookTouch","2011","6in","No","EInkPearl","","195g(6.9oz)","600×800","167ppi","Yes","Unknown","Wi-Fi,Bluetooth,UMTS+GPRS","Yes","Yes","2GB","Yes","Yes","Yes","Unknown","",""
"PocketBook","PocketBookBasicNew","2012","6in","No","EInk","","180g(6.3oz)","600×800","167ppi","No","Unknown","?","?","Yes","2GB","upto32GB","Yes","Yes","Unknown","",""
"reMarkable","reMarkable","2017pre-order","10.3in(A5=10.1in)","No","EInkCartaCANVAS","256x177x6.7mm(10.1x6.9x.26in)","350g(0.77lb)","1404x1872","226ppi","Yes","Yes","WiFi","No","Yes","8GB","No","No","PDFandePUB","Beta","",""
"Sony","DPT-RP1","2017","13.3in(letter=13.9in,A4=14.3in)","No","EInkCarta","","349g(12.3oz)","1650x2200","207ppi","Yes","No","Wi-Fib/g/nBluetoothNFC","No","Yes","16GB","No","No","PDFonly","Yes","",""
"TrekStor","Pyrus","2012","6in","No","DigitalInk","","216g(7.6oz)","600×800","167ppi","No","Yes,bothsides","No","No","Yes","2or4GB","Yes","No","Unknown","Unknown","",""
"TrekStor","Pyrus2LED","2013","6in","No","EInkPearl","","205g(7.2oz)","600×800","167ppi","Yes","Yes","No","No","Yes","2GB","Yes","No","Unknown","Unknown","",""
"TrekStor","Pyrusmini","2013","4.3in","No","DigitalInk","","111g(3.9oz)","600×800","233ppi","No","","No","No","Yes","2GB","Yes","No","Unknown","Unknown","",""
"txtr","beagle","2013","5in","No","EInk","","128g(4.5oz)","600x800","200ppi","No","Unknown","Bluetooth","No","No","5books,upto4GB","No","No","Yes","No","",""
"Variousprivatelabels","6"";4:3,Capacitivetouch,EPDAUO+SiPix16grayscaleContrastRatio:6:1,Whiteness:30%(w/touch)","varies","6in","No","SiPix","","240g(8.5oz)","600×800","167ppi","Yes","Unknown","Wi-Fi","Yes*","Yes","2GB","SDHC","Yes","Unknown","No","",""
"Fidibook","HannahF1Wi-Fi","2018","6in","Yes","EInk","159.5x118x8mm","190g","1024x758","212ppi","Yes","Yes","Wi-Fi","No","No","8GB","Upto16GB","Yes","No","Yes","",""
"Maker","Model","Introyear","Screensize(inch)","Self-lit","Screentype","Dimensions(HxWxD)","Weight","Screenpixels","PPI","Touchscreen","ButtonforPage-turn","Wirelessnetwork","Text-to-speech","Folders","Internalstorage","microSDHC","Webbrowser","LibraryDRMcompatible","USBperipherals","",""
