"Cardfamily","Standardsorganizations","Varieties","Entrydate","Maximumcommerciallyavailablecapacity","Picture","Mainfeatures"
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","SDHC","2006","32GB","","SamebuildasSDbutgreatercapacityandtransferspeed,4GBto32GB(notcompatiblewitholderhostdevices)."
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","miniSDHC","2008","32GB","","SamebuildasminiSDbutgreatercapacityandtransferspeed,4GBto32GB.8GBislargestinearly-2011(notcompatiblewitholderhostdevices)."
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","microSDHC","2007","32GB","","SamebuildasmicroSDbutgreatercapacityandtransferspeed,4GBto32GB.(notcompatiblewitholderhostdevices)"
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","SDXC","2009","1TB","","SamebuildasSD/SDHC,butgreatercapacityandtransferspeed,32GBandhigher.Standardgoesupto2TB(notcompatiblewitholderhostdevices)."
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","microSDXC","2009","1TB","","SamebuildasmicroSD/microSDHC,butgreatercapacityandtransferspeed,32GBandhigher.Standardgoesupto2TB(notcompatiblewitholderhostdevices)."
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","SDUC","2018","","","SamebuildasSD/SDHC/SDXC,butgreatercapacityandtransferspeed.Standardgoesupto128TB(notcompatiblewitholderhostdevices)."
"MemoryStick","Sony,SanDisk","Standard","1998","128MB","","Slimandnarrow(50×21.5×2.8mm),optionalDRM,upto128MB"
"MemoryStick","Sony,SanDisk","PRO","2003","4GB","(nottoscale)","Slimandnarrow(50×21.5×2.8mm),swifter,optionalDRM,upto4GB"
"MemoryStick","Sony,SanDisk","Duo","2003","128MB","","Compact(31×20×1.6mm),optionalDRM,upto128MB"
"MemoryStick","Sony,SanDisk","PRODuo","2002-2006","32GB","","Compact(31×20×1.6mm),optionalDRM,upto32GB"
"MemoryStick","Sony,SanDisk","PRO-HGDuo","2007-2008","32GB","","Compact(31×20×1.6mm),swifter,optionalDRM,upto32GB"
"MemoryStick","Sony,SanDisk","Micro(M2)","2006","16GB","","Subcompact(15×12.5×1.2mm),optionalDRM,upto16GB"
"MemoryStick","Sony","PSVitaMemoryCard","2012","64GB","","Subcompact(15×12.5×1.6mm),compulsoryDRM,upto64GB,proprietary(canbeusedonPSVitaonly)"
"P2(storagemedia)","Panasonic","MicroP2","2012","64GB","","MicroP2isaSDXC/SDHCcardconformingtoUHS-II(UltraHighSpeedbus),andcanbereadbycommonSDHC/SDXCcardreaders."
"xD","Olympus,Fujifilm,Sony","Standard","2002-2007","512MB","","Slimandsmall(20×25×1.78mm),electricallyidenticaltoSmartMedia,nowear-levelingcontroller,upto512MB"
"xD","Olympus,Fujifilm,Sony","TypeM","2005","2GB","","Slimandsmall(20×25×1.78mm)butslowerread/write,nowear-levelingcontroller,upto2GB"
"xD","Olympus,Fujifilm,Sony","TypeH","2005","2GB","","Slimandsmall(20×25×1.78mm)andswifter,nowear-levelingcontroller,upto2GB"
"XQDcard","Sony&Nikon","Standard","2011-2012",">2TB","","High-capacity,high-speedstandardusingPCIeasinterface"
"UniversalFlashStorageCardExtensions","Samsung","UFSCard","2016",">256GB","","Packagestheflashmemory,currentlysolderedinshippingsmartphones,intoaremovablecardformfactor.UsestheSCSIcommandsetincludingqueuing.Theelectricalinterfacemakesuseofdifferentialsignaling,whichenableshighbusspeedsandrobustnessundernoisyconditionsandreducedpincount(comparedtoparallelbusalternativessuchasUHS-I)."
"USBflashdrive","Various","USB1.1/2.0/3.0/3.1","2000/2001","1TB+","(nottoscale)","Universallycompatibleacrossmostnon-mobilecomputerplatforms,theirgreatersizesuitsthembettertofiletransfer/storageinsteadofuseinportabledevices"
