"Maker","Model","Introyear","Endyear","Screensize(inch)","Self-lit","Screentype","Screenmodel","Weight","Screenpixels","Touchscreen","Wirelessnetwork","Text-to-speech","Folders","InternalStorage","MicroSDHC","Webbrowser","LibraryDRMcompatible","USBperipherals"
"iRexTechnologies","DigitalReader1000","2008","2010","10.2in","No","eInk","","700g(25oz)","1024×1280","Stylus","No","No","Yes","No","SD","No","Yes","Yes"
"iRexTechnologies","iLiad","2006","2010","8.1in","No","eInk","","480g(17oz)","768×1024","Yes","Wi-Fi","No","Yes","64MB","SD,CF","No","Yes","Unknown"
"Iriver","Story","2009","2011","6in","No","eInk","","233g(8.2oz)","600×800","Yes","No","Unknown","Unknown","2GB","SDHC","Unknown","Yes","Unknown"
"JinKe","HanlinV3","2007","2008","6in","No","eInk","ED060SC4(LF)","Unknown","600×800","No","No","No","Yes","384MB","SDHC","No","Yes","No"
"JinKe","HanlinV2","2006","2007","6in","No","eInk","","Unknown","600×800","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"JinKe","HanlinV60","2010","?","6in","No","eInk","LB060S02-RD01ED060SC7(LF)","260g(8.6oz)","600×800","No","Wi-Fi","No","Yes","2G","SDHC","No","Unknown","Yes"
"KoboInc.","KoboGlo","2012","2015","6in","Yes","eInkPearl","","185g(6.5oz)","758×1024","Yes","Wi-Fi","No","shelves","2GB","Yes","Yes","Yes","Yes"
"KoboInc.","KoboMini","2012","2014","5in","No","eInkVizplex","","134g(4.7oz)","600×800","Yes","Wi-Fi","No","shelves","2GB","No","Yes","Yes","Yes"
"KoboInc.","KoboTouch","2011","2013","6in","No","eInkPearl","","200g(7.1oz)","600×800","Yes","Wi-Fi","No","shelves","2GB","Yes","Yes","Yes","Yes"
"KoboInc.","KoboeReaderWireless","2010","2011","6in","No","eInk","","221g(7.8oz)","600×800","No","Wi-Fi","No","Unknown","1GB","SD4GB","No","Yes","Unknown"
"KoboInc.","KoboeReader","2010","2011","6in","No","eInk","","221g(7.8oz)","600×800","No","Bluetooth","No","Unknown","1GB","SD","Yes","Yes","Unknown"
"Kogan.com","KoganeBookReader","2010","?","6in","No","eInk","","228g(8.0oz)","600×800","No","No","No","Yes","2GB","SDHC","No","Unknown","Unknown"
"KyoboInc.","KyoboE-readerMirasol","2011","2012","5.7in","No","Mirasol","","294g(10.4oz)","768×1024","Yes","Wi-Fi","Yes","Unknown","UnknownGB","SDHC","Yes","Unknown","Yes"
"OnyxInc.","BOOXA60/62","2009","2012","6in","No","eink","","298g","600x800","Yes","Wi-Fi","Yes","Yes","512MB","SDHC","Yes","No","Yes"
"OnyxInc.","BOOXX60/60S","2010","2011","6in","No","eInk","","298g(10.5oz)","600×800","Yes","Wi-Fi","Yes","Yes","512MB","SDHC","Yes","No","Yes"
"OnyxInc.","BOOXM90/M90S","2010","2011","9.7in","No","eInkPearl","","275g(9.7oz)","600×800","Yes","Wi-Fi","Yes","Yes","2GB","SDHC","Yes","No","Yes"
"OnyxInc.","BOOXi62TouchEspresso","2011","2013","6in","No","eInkPearl","","238g(8.4oz)","600x800","Yes(IR)","Wi-Fi","Yes","Yes","4GB","Yes","Yes","No","Yes"
"OnyxInc.","BOOXi62MLHDAngelGlow","2012","2013","6in","Yes","eInk","","238g(8.4oz)","758×1024","Yes(IR)","Wi-Fi","Yes","Yes","4GB","Yes","Yes","No","Yes"
"PocketBook","PocketBookPro603","2010","?","6in","No","eInk","","280g(9.9oz)","600×800","Stylus","Wi-Fi,Bluetooth,UMTS+GPRS","Yes","Yes","2GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBookPro602","2010","?","6in","No","eInk","","250g(8.8oz)","600×800","No","Wi-Fi,Bluetooth","Yes","Yes","2GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBookPro903","2010","2011","9.7in","No","eInk","","581g(20.5oz)","825×1200","Stylus","Wi-Fi,Bluetooth,UMTS+GPRS","Yes","Yes","2GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBookPro902","2010","2011","9.7in","No","eInk","","530g(19oz)","825×1200","No","Wi-Fi,Bluetooth","Yes","Yes","2GB","Yes","Yes","Yes","Unknown"
"Samsung","Papyrus","2009","2010","5in","No","eInk","","184g(6.5oz)","600×800","Yes","No","Yes","Unknown","512M","No","Unknown","Yes","Unknown"
"Samsung","E6","2010","2011","6in","No","eInk","","315g(11.1oz)","600×800","Stylus","Wi-Fi,Bluetooth","Yes","Yes","2GB(1.4GB)","microSD","limited","Yes","Unknown"
"Sony","DPT-S1","2014","2016","13.3in(letter=13.9in,A4=14.3in)","No","eInkMobius","","357g(12.6oz)","1200x1600","Yes","Wi-Fib/g/n","No","Yes","4GB","Yes","Yes","PDFonly","Yes"
"Sony","SonyReaderPocketEditionPRS-300SC","2011","2012","5in","No","eInkVizplex","","220g(7.8oz)","600×800","No","No","No","Unknown","512MB(350MB)","No","No","Yes","Unknown"
"Sony","SonyReaderPocketEditionPRS-350","2010","2011","5in","No","eInkPearl","","155g(5.5oz)","600×800","Yes","No","No","collections","2GB(1.4GB)","No","No","Yes","Unknown"
"Sony","SonyReaderTouchEditionPRS-650","2010","2011","6in","No","eInk","","215g(7.6oz)","600×800","Yes","No","No","collections","2GB(1.4GB)","SDHC,MSProDUO","No","Yes","Unknown"
"Sony","SonyReaderDailyEditionPRS-900","2009","2011","7.1in","No","eInk","","283g(10.0oz)","600×1024","Yes","No","No","Unknown","2GB","SDHC,MSProDUO","Unknown","Yes","Unknown"
"Sony","SonyReaderTouchEditionPRS-600","2009","2010","6in","No","eInk","","286g(10.1oz)","600×800","Yes","No","No","Unknown","512MB(380MB)","SDHC,MSProDuo","No","Yes","Unknown"
"Sony","SonyReaderPocketEditionPRS-300","2009","2010","5in","No","eInk","","220g(7.8oz)","600×800","No","No","No","Unknown","512MB(480MB)","No","No","Yes","Unknown"
"Sony","SonyReaderPRS-700","2008","2009","6in","Yes","eInk","","283g(10.0oz)","600×800","Yes","No","Unknown","Unknown","512MB","SDHC","Unknown","Yes","Unknown"
"Sony","ReaderPRS-505","2008","2009","6in","No","eInk","","250g(8.8oz)","600×800","No","No","No","Unknown","256MB,(192MB)","SD,MS","No","Yes","Unknown"
"Sony","SonyReaderPRS-500","2006","2008","6in","No","eInk","","250g(8.8oz)","600×800","No","No","No","No","92MB","SD","No","Yes","Unknown"
"Sony","ReaderPRS-T1","2011","2012","6in","No","eInkPearl","","168g(5.9oz)","600×800","Yes(IR)","Wi-Fi","No","Collections","2GB(1.3GB)","Yes","Yes","Yes","Unknown"
"Sony","ReaderPRS-T2","2012","2013","6in","No","eInkPearl","","167g(5.9oz)","600×800","2-Point","Wi-Fi","No","Collections","2GB(1.3GB)","Yes","Yes","Yes","Unknown"
"Sony","ReaderPRS-T3","2013","2014","6in","No","eInkPearl","","198g(6.9oz)","758x1024","2-Point","Wi-Fi","No","Collections","2GB(1.3GB)","Yes","Yes","Yes","Unknown"
"Tolino","tolinoshine","2013","2015","6in","Yes","EInkPearl","","183g(6.5oz)","758×1024","Yes","Yes","No","Yes","4GB(2GB)","Yes","Yes","Yes","Unknown"
"Tolino","tolinovision","2014","2015","6in","Yes","EInkCarta","","178g","758×1024","Yes","Wi-Fi","No","Yes","2GB","Yes","Yes","Yes","Unknown"
"Tolino","tolinovision4HD","2016","2019","6in","Yes","EInkCarta","","175g","1448×1072","Yes","Wi-Fi(b/g/n)","No","Yes","8GB(6GBavailableforuser)","No","Yes","Yes","Unknown"
"Tolino","TolinoEpos","2017","2019","7.8in","Yes","EInkCarta","","260g(9.2oz)","1404x1872","Yes","Wi-Fi","No","Yes","8GB","No","Yes","Yes","Unknown"
"TrekStor","Pyrusmaxi","2013","2014","8in","No","DigitalInk","","309g(10.9oz)","768×1024","No","No","No","Yes","4GB","Yes","No","Yes","Unknown"
"Wexler","FlexONE","2012","2013","6in","No","LGflex","","110g(3.9oz)","768x1024","No","No","No","Yes","8GB","No","No","No","Unknown"
"Wexler","WEXLER.BOOKE6003","2012","?","6in","No","eink","ED060SC7(LF)","175g(5.7oz)","600x800","No","No","No","Yes","4GB","Yes","No","No","Unknown"
"Maker","Model","Introyear","Endyear","Screensize(inch)","Self-lit","Screentype","Screenmodel","Weight","Screenpixels","Touchscreen","Wirelessnetwork","Text-to-speech","Folders","InternalStorage","MicroSDHC","Webbrowser","LibraryDRMcompatible","USBperipherals"
