"Launchsystem","Launchsystem","Countryoforigin","Classandtype","Payloadcapacity","Payloadcapacity","Payloadcapacity","Maidenflight","Manufacturer","Status","Ref"
"RPS-420","Pengorbitan-1","Indonesia","Smallliftexpendablelaunchvehicle","25kg(55lb)","N/A","","TBD","LAPAN","Proposed",""
"RPS-420","Pengorbitan-2","Indonesia","Smallliftexpendablelaunchvehicle","50kg(110lb)","N/A","","TBD","LAPAN","Proposed",""
"S-Series(rocketfamily)","SS-520","Japan","Smallliftexpendablelaunchvehicle","100kg(220lb)(>300km(190mi)","N/A","","1980","IHICorporation","Inservice",""
"Safir","Safir","Iran","Smallliftexpendablelaunchvehicle","65kg(143lb)","N/A","","2008","ISA","Inservice",""
"SatelliteLaunchVehicle","SatelliteLaunchVehicle","India","Smallliftexpendablelaunchvehicle","40kg(88lb)(400km(250mi)","N/A","","1979","ISRO","Retired",""
"Shavit","Shavit","Israel","Smallliftexpendablelaunchvehicle","800kg(1,800lb)","N/A","","1988","IsraelAerospaceIndustries","Inservice",""
"Simorgh","Simorgh","Iran","Smallliftexpendablelaunchvehicle","350kg(770lb)","N/A","","2016(Sub-orbital)","ISA","Underdevelopment",""
"SmallSatelliteLaunchVehicle","SmallSatelliteLaunchVehicle","India","Smallliftexpendablelaunchvehicle","500kg(1,100lb)(500km(310mi))","N/A","300kg(660lb)","2020(Planned)","ISRO","Underdevelopment",""
"TSLV","TSLV","RepublicofChina","Smallliftexpendablelaunchvehicle","50kg(110lb)(700km(430mi))","N/A","","TBD","NSPO","Underdevelopment",""
"Unha","Unha","NorthKorea","Smallliftexpendablelaunchvehicle","200kg(440lb)(465km(289mi)x502km(312mi))","N/A","","2009","KCST","Inservice",""
"UnifiedModularLaunchVehicle","ULVwith6xS-13boosters","India","Mediumliftexpendablelaunchvehicle","4,500kg(9,900lb)","1,500kg(3,300lb)","","Noearlierthan2022","ISRO","Underdevelopment",""
"UnifiedModularLaunchVehicle","ULVwith2xS-60boosters","India","Mediumliftexpendablelaunchvehicle","10,000kg(22,000lb)","3,000kg(6,600lb)","","Noearlierthan2022","ISRO","Underdevelopment",""
"UnifiedModularLaunchVehicle","ULVwith2xS-139boosters","India","Mediumliftexpendablelaunchvehicle","12,000kg(26,000lb)","4,500kg(9,900lb)","","Noearlierthan2022","ISRO","Underdevelopment",""
"UnifiedModularLaunchVehicle","ULVwith2xS-200boosters","India","Mediumliftexpendablelaunchvehicle","15,000kg(33,000lb)","6,000kg(13,000lb)","","Noearlierthan2022","ISRO","Underdevelopment",""
"UnifiedModularLaunchVehicle","HLVvariant","India","Heavyliftexpendablelaunchvehicle","20,000kg(44,000lb)","10,000kg(22,000lb)","","2020s","ISRO","Underdevelopment",""
"UnifiedModularLaunchVehicle","SHLVvariant","India","Superheavyliftexpendablelaunchvehicle","41,300kg(91,100lb)-60,000kg(130,000lb)","16,300kg(35,900lb)","","2020s","ISRO","Underdevelopment",""
"UyduF?rlatmaSistemi","UyduF?rlatmaSistemi","Turkey","Smallliftexpendablelaunchvehicle","Microsatellites(700km(430mi))","N/A","","TBD","ROKETSAN","Underdevelopment",""
"YunFengSLV","YunFengSLV","RepublicofChina","Smallliftexpendablelaunchvehicle","200kg(440lb)(500km(310mi)","N/A","","TBD","NCSIST","Underdevelopment",""
