"Maker","Model","Number","E-Books","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Images","Images","Images","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","Images","Audio/Video"
"Barnes&Noble","NookSimpleTouch","08","No","Unknown","Unknown","No","No","No","No","Yes","No","Unknown","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Bookeen","CybookOrizon","08","No","Unknown","Unknown","No","No","No","Unknown","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Bookeen","CybookOpus","06","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Bookeen","CybookGen3","07","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"bq","Movistarebookbq","14","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No"
"CondorTechnology","eGriverIDEO","18","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"CondorTechnologyAssociates","eGriverTouch","08","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"EBSTechnology","Agebook+6","12","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","Yes","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Ectaco","JetBookColor","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Elonex","Elonexebook","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Endlessideas","BeBook&One(HanlinV3clone)","23","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Endlessideas","BeBook&Mini(HanlinV5clone)","23","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Foxit&Corp.","eSlick","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreaderN516","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreaderN51819","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreaderN520","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreaderN526","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Interead","COOL-ER","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"iPapyrusInc.","iPapyrus6","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"iRexTechnologies","DigitalReader800","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"iRexTechnologies","DigitalReader1000","09","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"iRexTechnologies","iLiad","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Iriver","Story","Unknown","Unknown","Unknown","Unknown","No","Unknown","Yes","Unknown","Yes","Unknown","Yes","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Iriver","IRiverStoryHD","15","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","No","Yes","Unknown","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"italicaGmbH","Paperback1.0","06","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","HanlinV2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","HanlinV3","19","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","HanlinV5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","HanlinV6.0","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Kobo","eReader","03","No","Unknown","Unknown","No","No","No","Unknown","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Kobo","eReaderWiFi","09","No","Yes","Yes","No","No","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Kobo","eReaderTouch","14","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Partial(rawmarkup)","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Kogan.com","KoganeBookReader","16","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Kolporter","eClicto","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Manta","Ebook04","15","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","No","No","Yes","No","Yes"
"Newsmy","e6210","Unknown","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No"
"OnyxInc.","Boox&A60/60S","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"OnyxInc.","BooxX60/60S","22","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No"
"OnyxInc.","BooxM90/90S","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"OnyxInc.","BooxM92/92s","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"OnyxInc.","BooxM96","26+","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OnyxInc.","BOOXI62","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"OnyxInc.","BOOXI62HD","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"OnyxInc.","BOOXI62ML","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial(noDRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"PocketBook","PocketBook360Plus","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBookPro602","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBookPro603","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBookPro902","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBookPro903","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Samsung","Papyrus","03","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Samsung","E6","Unknown","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","DPT-S1","01","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Sony","Librié","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","No","No","No","No","No","No","No","No","No","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Sony","ReaderPocketEditionPRS-300","06","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Sony","ReaderPRS-500","09","No","Unknown","Unknown","No","No","No","Unknown","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","ReaderPRS-505","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","ReaderTouchEditionPRS-600","12","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","No","No","No","No","No","Yes","No","Yes","Unknown","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","ReaderPRS-700","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","ReaderDailyEditionPRS-900","11","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"SpringDesign","AlexeReader","05","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"StereoInternationalEnterprise","ES600","08","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"TrekStor","eBookReader3.0","08","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Partial(onlyfromFileMgr","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No"
"VelocityMicro","CruzReader","14+","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"VelocityMicro","CruzTabletT103","14+","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"VelocityMicro","CruzTabletT301","14+","Yes","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"WolderElectronics","Boox-S","14","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","Unknown","Yes","No","Partial(noDRM)","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Maker","Model","Number","E-books","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Images","Images","Images","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","Images","Audio/Video"
"Maker","Model","Number",".azw",".cbr",".cbz",".chm",".djvu",".doc",".docx",".epub",".fb2",".html",".lit",".mobi",".opf",".pdb",".pdf",".pdg",".rtf",".tcr",".tr3",".txt",".bmp",".gif",".jpg",".png",".tiff",".avi",".flv",".m4v",".mov",".mp3",".mpeg1/2/4",".wmv"
