"GNUTeXmacs","JorisvanderHoeven","—","1996?","macOS","2.1.1","2021-12-10","GPL-3.0-or-later","Nocost"
"GNUTeXmacs","JorisvanderHoeven","—","1996?","Unix","2.1.1","2021-12-10","GPL-3.0-or-later","Nocost"
"GNUTeXmacs","JorisvanderHoeven","—","1996?","Windows","2.1.1","2021-12-10","GPL-3.0-or-later","Nocost"
"Discontinued-Go-oo","Novell","OpenOffice.org","2007-10-08","GNU/Linux","3.2.1-11","2010-07-21","LGPL","Discontinued"
"Discontinued-Go-oo","Novell","OpenOffice.org","2007-10-08","macOS","3.2.1-11","2010-07-21","LGPL","Discontinued"
"Discontinued-Go-oo","Novell","OpenOffice.org","2007-10-08","Windows","3.2.1-11","2010-07-21","LGPL","Discontinued"
"Discontinued-GobeProductive","GobeSoftware","—","1998","BeOS","2.01","2002","Proprietary","Discontinued"
"Discontinued-GobeProductive","GobeSoftware","—","1998","Windows","3.04","2002","Proprietary","Discontinued"
"GoogleWorkspace(GSuite)(GoogleAppsforWork)","Google","Writely","2006","Android","Rollingupdates","Rollingupdates","Proprietary","60.00peraccountperyear.30day-trialatnocost.Nocostforeducationandnon-profit."
"GoogleWorkspace(GSuite)(GoogleAppsforWork)","Google","Writely","2006","ChromeOS","Rollingupdates","Rollingupdates","Proprietary","60.00peraccountperyear.30day-trialatnocost.Nocostforeducationandnon-profit."
"GoogleWorkspace(GSuite)(GoogleAppsforWork)","Google","Writely","2006","GNU/Linux","Rollingupdates","Rollingupdates","Proprietary","60.00peraccountperyear.30day-trialatnocost.Nocostforeducationandnon-profit."
"GoogleWorkspace(GSuite)(GoogleAppsforWork)","Google","Writely","2006","iOS","Rollingupdates","Rollingupdates","Proprietary","60.00peraccountperyear.30day-trialatnocost.Nocostforeducationandnon-profit."
"GoogleWorkspace(GSuite)(GoogleAppsforWork)","Google","Writely","2006","macOS","Rollingupdates","Rollingupdates","Proprietary","60.00peraccountperyear.30day-trialatnocost.Nocostforeducationandnon-profit."
"GoogleWorkspace(GSuite)(GoogleAppsforWork)","Google","Writely","2006","Windows","Rollingupdates","Rollingupdates","Proprietary","60.00peraccountperyear.30day-trialatnocost.Nocostforeducationandnon-profit."
"HancomOffice","Hancom","ThinkFreeOffice","1998","Android","2020","2020","Proprietary","59.99-119.99"
"HancomOffice","Hancom","ThinkFreeOffice","1998","Online","2020","2020","Proprietary","59.99-119.99"
"HancomOffice","Hancom","ThinkFreeOffice","1998","Windows","2020","2020","Proprietary","59.99-119.99"
"IBMLotusSymphony","IBM","IBMWorkplace","2007","GNU/Linux","3.0.1Fixpack2","2012-11-29","Proprietary","?"
"IBMLotusSymphony","IBM","IBMWorkplace","2007","macOS","3.0.1Fixpack2","2012-11-29","Proprietary","?"
"IBMLotusSymphony","IBM","IBMWorkplace","2007","Windows","3.0.1Fixpack2","2012-11-29","Proprietary","?"
"iWork","AppleInc.","AppleWorks","2005","iOS","11.2","2021-09-28","Proprietary","Nocost"
"iWork","AppleInc.","AppleWorks","2005","macOS","11.2","2021-09-28","Proprietary","Nocost"
"iWork","AppleInc.","AppleWorks","2005","Online","11.2","2021-09-28","Proprietary","Nocost"
"KOffice","KDE","—","1998","BSD","2.3.3","2011-02-23","GNULGPLandGNUGPL","Nocost"
"KOffice","KDE","—","1998","GNU/Linux","2.3.3","2011-02-23","GNULGPLandGNUGPL","Nocost"
"KOffice","KDE","—","1998","macOS","2.3.3","2011-02-23","GNULGPLandGNUGPL","Nocost"
"KOffice","KDE","—","1998","Solaris/Illumos","2.3.3","2011-02-23","GNULGPLandGNUGPL","Nocost"
"KOffice","KDE","—","1998","Windows","2.3.3","2011-02-23","GNULGPLandGNUGPL","Nocost"
"LibreOffice","TheDocumentFoundation","OpenOffice.orgGo-ooStarOffice","2010-09","BSD","7.3.1","2022-03-03","MPL-2.0","Nocost"
"LibreOffice","TheDocumentFoundation","OpenOffice.orgGo-ooStarOffice","2010-09","GNU/Linux","7.3.1","2022-03-03","MPL-2.0","Nocost"
"LibreOffice","TheDocumentFoundation","OpenOffice.orgGo-ooStarOffice","2010-09","macOS","7.3.1","2022-03-03","MPL-2.0","Nocost"
"LibreOffice","TheDocumentFoundation","OpenOffice.orgGo-ooStarOffice","2010-09","Solaris/Illumos","7.3.1","2022-03-03","MPL-2.0","Nocost"
"LibreOffice","TheDocumentFoundation","OpenOffice.orgGo-ooStarOffice","2010-09","Unix","7.3.1","2022-03-03","MPL-2.0","Nocost"
"LibreOffice","TheDocumentFoundation","OpenOffice.orgGo-ooStarOffice","2010-09","Windows","7.3.1","2022-03-03","MPL-2.0","Nocost"
"LotusSmartSuite","IBM","—","1992","OS/2","9.8.6.1","2009-02-05","Proprietary","313.00"
"LotusSmartSuite","IBM","—","1992","Windows","9.8.6.1","2009-02-05","Proprietary","313.00"
"MicrosoftOffice","Microsoft","MicrosoftWordMicrosoftExcelMicrosoftPowerPoint","1990","macOS","16.39","2019","Proprietary","89.95-679.95"
"MicrosoftOffice","Microsoft","MicrosoftWordMicrosoftExcelMicrosoftPowerPoint","1992","Windows","16.0","2019","Proprietary","89.95-679.95"
"MicrosoftWorks","Microsoft","—","1986","Macintosh","9","2007-09-28","Proprietary","Discontinued"
"MicrosoftWorks","Microsoft","—","1986","Windows","9","2007-09-28","Proprietary","Discontinued"
"NeoOffice","PlanamesaSoftware","OpenOffice.orgLibreOffice","2005-06-02","macOS","2017.32","2021-12-11","GNUGPL","$10/yr.$29.99MacAppStore.Oldversionsatnocost."
"OfficeSuite","MobiSystems","—","2004","Android","12.0.39465","2021-12-16","Proprietary","€29.99/yearforallplatforms.Nocostwithadsandlimitedsupport."
"OfficeSuite","MobiSystems","—","2004","iOS","9.4","2022-01-19","Proprietary","€29.99/yearforallplatforms.Nocostwithadsandlimitedsupport."
"OfficeSuite","MobiSystems","—","2004","Windows","6.30.43840","2021","Proprietary","€29.99/yearforallplatforms.Nocostwithadsandlimitedsupport."
"OnlyOffice(TeamLab)","AscensioSystems","—","2010","Online","7.0.0","2022-01-18","GNUAGPL","75-7,200peryearforcommercialuse.Nocostfornon-commercialuse."
"OpenOffice.org","SunMicrosystemsOracleCorporation","StarOffice","2002-05-01","GNU/Linux","3.3.0","2011-01-25","LGPL","Nocost"
"OpenOffice.org","SunMicrosystemsOracleCorporation","StarOffice","2002-05-01","macOS","3.3.0","2011-01-25","LGPL","Nocost"
"OpenOffice.org","SunMicrosystemsOracleCorporation","StarOffice","2002-05-01","Solaris","3.3.0","2011-01-25","LGPL","Nocost"
"OpenOffice.org","SunMicrosystemsOracleCorporation","StarOffice","2002-05-01","Windows","3.3.0","2011-01-25","LGPL","Nocost"
"PolarisOffice","InfrawareInc.","—","2011-05","Android","9.6.3","2021-12-23","Proprietary","?"
"PolarisOffice","InfrawareInc.","—","2011-05","iOS","9.6.4","2021-12-29","Proprietary","?"
"PolarisOffice","InfrawareInc.","—","2011-05","macOS","9.0.30","2021-12-03","Proprietary","?"
"PolarisOffice","InfrawareInc.","—","2011-05","Windows","9.113.79","2021-12-28","Proprietary","?"
"SiagOffice","UlricEriksson","—","1997","BSD","3.6.1","2006-11-10","GPL-2.0-or-later","Nocost"
"SiagOffice","UlricEriksson","—","1997","GNU/Linux","3.6.1","2006-11-10","GPL-2.0-or-later","Nocost"
"SiagOffice","UlricEriksson","—","1997","macOS","3.6.1","2006-11-10","GPL-2.0-or-later","Nocost"
"SoftMakerOffice","SoftMaker","—","2012-08","Android","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"SoftMakerOffice","SoftMaker","—","2006-12","GNU/Linux","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"SoftMakerOffice","SoftMaker","—","2018-03","macOS","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"SoftMakerOffice","SoftMaker","—","2006-11","PocketPC","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"SoftMakerOffice","SoftMaker","—","1995-12","Windows","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"SoftMakerOffice","SoftMaker","—","2008-09","WindowsCE","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"SoftMakerOffice","SoftMaker","—","2010-07","WindowsMobile","2021rev1042","2021-12-17","Proprietary","99.95forOfficeProfessional.FreeOfficeatnocost."
"StarOffice(OracleOpenOffice)","StarDivisionSunMicrosystemsOracleCorporation","StarWriter","1995","BSD","9.0U3","2009-09-09","Proprietary","34.95"
"StarOffice(OracleOpenOffice)","StarDivisionSunMicrosystemsOracleCorporation","StarWriter","1995","GNU/Linux","9.0U3","2009-09-09","Proprietary","34.95"
"StarOffice(OracleOpenOffice)","StarDivisionSunMicrosystemsOracleCorporation","StarWriter","1995","macOS","9.0U3","2009-09-09","Proprietary","34.95"
"StarOffice(OracleOpenOffice)","StarDivisionSunMicrosystemsOracleCorporation","StarWriter","1995","Solaris/Illumos","9.0U3","2009-09-09","Proprietary","34.95"
"StarOffice(OracleOpenOffice)","StarDivisionSunMicrosystemsOracleCorporation","StarWriter","1995","Unix","9.0U3","2009-09-09","Proprietary","34.95"
"StarOffice(OracleOpenOffice)","StarDivisionSunMicrosystemsOracleCorporation","StarWriter","1995","Windows","9.0U3","2009-09-09","Proprietary","34.95"
"TikiWikiCMSGroupware","TikiSoftwareCommunityAssociation","—","2002","Online","23.0","2021-08-27","LGPL-2.1-only","Nocost"
"WordPerfectOffice","Corel","WordPerfect(1982)","1991","Windows","2021","2021-05","Proprietary","69.99-399.99"
"WPSOffice(KingsoftOffice)","Kingsoft","—","1988","Android","PC11.2.0","2019-04","Proprietary","$119.99perpetuallicense.$29.99annualsubscription.Nocostwithads."
"WPSOffice(KingsoftOffice)","Kingsoft","—","1988","GNU/Linux","PC11.2.0","2019-04","Proprietary","$119.99perpetuallicense.$29.99annualsubscription.Nocostwithads."
"WPSOffice(KingsoftOffice)","Kingsoft","—","1988","iOS","PC11.2.0","2019-04","Proprietary","$119.99perpetuallicense.$29.99annualsubscription.Nocostwithads."
"WPSOffice(KingsoftOffice)","Kingsoft","—","1988","macOS","PC11.2.0","2019-04","Proprietary","$119.99perpetuallicense.$29.99annualsubscription.Nocostwithads."
"WPSOffice(KingsoftOffice)","Kingsoft","—","1988","Windows","PC11.2.0","2019-04","Proprietary","$119.99perpetuallicense.$29.99annualsubscription.Nocostwithads."
"ZohoOfficeSuite","ZohoCorp.","—","2005","Online","","","Proprietary","Upto96peruserperyear."
"Name","Developer","Predecessor","Initialrelease","Platform","Latestrelease","Latestrelease","License","Cost(USD)"
"Name","Developer","Predecessor","Initialrelease","Platform","Version","License","Cost(USD)","Date"
