"Resortnameandwebsite","Nearestcity","State/province","Peakelevation(ft)","Baseelevation(ft)","Verticaldrop(ft)","Skiableacreage","Totaltrails","Totallifts","Avgannualsnowfall(in)","Adultweekendliftticketwindowprice(USD)","Datestatisticsupdated"
"JiminyPeak","Pittsfield","Massachusetts","2,375","1,125","1,140","170","45","8","110","$84","September29,2019"
"WachusettMountain","Worcester","Massachusetts","2,006","1,006","1,000","110","22","7","100","$73","September29,2019"
"NashobaValley","Boston","Massachusetts","422","182","240","59","17","9","55","$60","September29,2019"
"BlueHillsSkiArea","Boston","Massachusetts","635","326","309","60","8","4","","$45","September29,2019"
"OtisRidgeSkiCamp","Otis","Massachusetts","1,700","1,300","400","55","11","5","70","$40","September29,2019"
"SkiBradford","Haverhill","Massachusetts","272","24","248","48","15","10","","$58","September29,2019"
"SkiWard","Shrewsbury","Massachusetts","420","210","210","45","9","6","80","$55","September29,2019"
"BosquetSkiArea","Pittsfield","Massachusetts","1,818","1,068","750","200","23","5","83","$47","September29,2019"
"ChestnutMountain","Galena","Illinois","1,020","600","420","220","19","9","34","$60","September29,2019"
"SnowstarWinterSportsPark","Moline","Illinois","790","528","262","28","14","6","38","$41","September29,2019"
"FourLakesAlpineSnowsports","Naperville","Illinois","500","400","100","9","7","6","24","$28","September29,2019"
"VillaOlivia","Bartlett","Illinois","500","320","180","15","7","7","25","$40","September29,2019"
"MountCrescent","Omaha","Iowa","1,500","1,200","300","50","11","2","30","$39","September29,2019"
"SevenOaks","Boone","Iowa","975","800","175","35","11","4","40","$40","September29,2019"
"SleepyHollowsSportsPark","DesMoines","Iowa","938","800","138","80","8","2","","$25","September29,2019"
"SundownMountain","Dubuque","Iowa","1,059","584","475","55","21","6","45","$46","September29,2019"
"BryceResort","Basye","Virginia","1,750","1,250","500","25","8","7","30","$67","September29,2019"
"MassanuttenResort","Harrisonburg","Virginia","2,925","1,750","1,110","70","13","7","35","$79","September29,2019"
"HomesteadResort","HotSprings","Virginia","3,200","2,500","700","45","10","2","50","$35","September29,2019"
"CanaanValleyResort","Dryfork","WestVirginia","4,280","3,430","850","91","39","4","150","$68","September29,2019"
"Winterplace","Ghent","WestVirginia","3,600","2,997","603","90","28","9","100","$72","September29,2019"
"OglebayResort","Wheeling","WestVirginia","","","168","","1","1","","$28","September29,2019"
"CloudmontResort","Mentone","Alabama","1,800","1,650","150","9","2","2","0","$40","September29,2019"
"AnthonyLakes","NorthPowder","Oregon","8,000","7,100","900","1,100","21","3","300","$40","September29,2019"
"CoopperSpur","HoodRiver","Oregon","4,350","4,000","350","50","10","4","100","$39","September29,2019"
"FergusonRidge","Joseph","Oregon","5,840","5,200","640","170","8","2","300","$20","September29,2019"
"Hoodoo","Sisters","Oregon","5,703","4,668","1,035","806","32","5","360","$56","September29,2019"
"MountHoodSkibowl","GovernmentCamp","Oregon","5,027","3,500","1,527","960","65","9","300","$55","September29,2019"
"SpoutSprings","Tollgate","Oregon","5,450","4,920","530","200","17","2","130","ClosedTemporarily","September29,2019"
"SummitSkiArea","GovernmentCamp","Oregon","4,306","4,000","306","70","3","2","150","$38","September29,2019"
"TimberlineLodge","GovernmentCamp","Oregon","8,540","4,850","3,620","1,430","35","9","540","$85","July31,2021"
"WarnerCanyon","Lakeview","Oregon","6,003","5,271","732","200","21","1","50","$35","September29,2019"
"WillamettePass","Oakridge","Oregon","6,683","5,120","1,563","555","29","6","430","$60","September29,2019"
"CrestedButte","CrestedButte","Colorado","12,170","9,115","3,055","1,547","121","16","300","$113","September30,2019"
"EchoMountain","Evergreen","Colorado","10,650","10,050","600","226","13","2","275","$55","September30,2019"
"GranbyRanch","Granby","Colorado","9,202","8,202","1000","406","40","5","220","$84","September30,2019"
"Hesperus","Durango","Colorado","8,888","8,200","688","60","26","1","150","$39","September30,2019"
"HowelsonHill","SteamboatSprings","Colorado","7,136","6,696","440","50","17","4","150","$30","September30,2019"
"KendallMountain","Silverton","Colorado","9,540","9,300","240","16","11","1","200","$20","September30,2019"
"Monarch","Salida","Colorado","11,960","10,790","1,170","800","63","5","400","$94","September30,2019"
"PowderhornResort","GrandJunction","Colorado","9,850","8,200","1,650","1,600","63","5","250","$71","September30,2019"
"PurgatoryResort","Durango","Colorado","10,822","8,793","2,029","1,200","85","10","260","$99","September30,2019"
"SilvertonMountain","Silverton","Colorado","13,487","10,400","3,087","1,819","48","1","450","$79","September30,2019"
"SunlightMountain","GlenwoodSprings","Colorado","9,895","7,885","2,010","470","67","3","250","$55","September30,2019"
"CranorHill","Gunnison","Colorado","8,500","8,100","400","45","4","1","75","$17","September30,2019"
