"Provider","Win.","Linux","Mac","Android","iOS","Encryptedstorage","Zeroknowledge","SecureKeyManagement","LimitedMBplan","UnlimitedMBplan","$/MBplan","UnlimitedBW","Provider","CloudhostedNetDrive","Sync","Autodetectchanges","Publicfilehosting","physicalmediarestore","Serverlocation(s)","Freeonlinestorage(non-trial)","Maximumper-filesize","Externalharddrivesupport","HybridOption","GreenHosting","OpenSaaS"
"iDrive","Yes","Yes,butyouhavetomanuallyrunperlscripts.","Yes","Yes","Yes","Yes","No","","No","No","Yes","","iDrive","","Yes","Yes","Yes","Yes","unknown","5GB","","Yes","","",""
"Infrascale","Yes","Yes","Yes","Yes","Yes","Yes","Optional","Optional","Yes","Yes","No","Yes","Infrascale","No","Yes","Yes","Yes","Yes","UnitedStates,Canada,UnitedKingdom,SouthAfrica,Australia,NewZealand,Jamaica","No","Nolimit","Yes","Optional","",""
"Jumpshare","Yes","No","Yes","No","Yes","Yes","","","Yes","No","No","Yes","Jumpshare","","Yes","Yes","Yes","No","UnitedStates,Europe","2GB","250MBonfree,UnlimitedonJumpsharePlus","","","Yes",""
"JungleDisk","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","JungleDisk","Yes","Yes","Yes","Yes","","UnitedStates,Europe","No","NolimitinBackupVault","Yes","","Partial,AmazonAWSorRackspaceCloudFiles.",""
"KeepVault","Yes","No","No","","","Yes","Yes","?","Yes","No","Yes","","KeepVault","","","Yes","","","UnitedStates","","20GB","","","",""
"Livedrive","Yes","No","Yes","Yes","Yes","No","No","?","Yes","OnlineBackuponly","No","Yes","Livedrive","Yes(paid-only)","Yes","Yes","Yes","Yes","Yes","UnitedKingdom","No","Nolimit","Yes","","",""
"MediaFire","Yes","Uploadonly[1]","Yes","Yes","Yes","No","No","?","Yes","No","Yes","Yes","MediaFire","No","Yes","Yes","Yes","","UnitedStates","10GB","NoLimit","No","No","",""
"MEGA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","MegaLtd.","No","Yes","Yes,usingMEGADesktopApp","Yes","No","Europe,NewZealand","20GB","Nolimit","No","No","",""
"MiMedia","Yes","No","No","","","Yes","No","?","Yes","No","Yes","Yes","MiMedia","No","No","Yes","No","No","UnitedStates","7GB","3GB","Yes","","",""
"OneDrive","Yes","No,seenote","Yes","Yes","Yes","Yes","No","?","Yes","No","","","OneDrive","No","Yes","","","","","5GBfornewusers,25GBforolderusers","100GB","","","Partial,29%","No"
"SpiderOak","Yes","Yes","Yes","DownloadOnly","DownloadOnly","Yes","Yes","?","Yes","Businessonly(min10users)","Yes","Yes","SpiderOak","No","Yes","Yes","Yes","","","(2GBfreefor60daysonly)","Nolimit","Yes","Yes","","No"
"SugarSync","Yes","No","Yes","Yes","Yes","Yes","No","?","Yes","No","No","","SugarSync","","Yes","Yes","Yes(SugarSyncaccountneededforfolders)","","","No","100MB(web)Nolimit(clientapp)","","","",""
"Syncplicity","Yes","No","Yes","Yes","Yes","Yes","No","?","","","Yes","","Syncplicity","","Yes","Yes","Yes","","UnitedStates","10GB","","","","",""
"Tarsnap","YesviaCygwin","Yes","Yes","No","No","Yes","Yes","?","No","No","Yes","","Tarsnap","No","","","","","","No","","","","No,AmazonAWS","No"
"TrendMicroSafeSync","Yes","Partial","Yes","Yes,viaStorageMadeEasyclient","Yes,viaStorageMadeEasyclient","","No","?","","","Yes","","TrendMicroSafeSync","Yes","Yes","","Yes","","UnitedKingdom","","","","","",""
"Tresorit","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Tresorit","Yes","Yes","Yes","Yes","No","Ireland,Netherlands","3GB","0.5GB(free),10GB(paid)","Yes","No","",""
"UnitrendsVault2Cloud","Yes","Yes","Yes","","","Yes","No","?","No","Yes","Yes","","UnitrendsVault2Cloud","Yes","Yes","","No","Yes","UnitedStates","No","","","","",""
"UpdateStarOnlineBackup","Yes","No","No","","","Yes","No","?","Yes","Yes","","","UpdateStarOnlineBackup","","","","","","Europe","","","","","",""
"Yandex.Disk","Yes","Yes","Yes","Yes","Yes","No","No","?","Yes","","","","Yandex.Disk","Yes","Yes","Yes","Yes","","Russia","10GB","50GB","","","",""
"ZmandaCloudBackup","Yes","No","No","","","Optional","Optional","?","","","Yes","","ZmandaCloudBackup","Yes","","","","Yes","UnitedStates,Europe,Singapore,Japan","","Nolimit","Yes","Yes","Partial,AmazonAWSorGoogleCloudStorage"
