"IrfanView","Thumbnails(18pre-definedsizesfrom50×50–800×800pixels),fullscreen,slideshow,zoom,fit(severaloptions),viewIPTCandExifinfo,hexview,histogram(alsoRGB);Formatdetectionwithoffertorename,setwallpaper,EXE/SCRcreation,BurnslideshowtoCD;directorytree32languages(version4.28/4.30)","AddText,crop,cut/copyselectedarea,paste-Intoselectedarea,pastefromprintscreen,resize/resample,rotate,flipvertically/horizontally,JPEGlosslesstransformations,coloradjustments,changecolordepth,greyscale,red-eyereduction,sharpen,effects/filters,ownand8bf(Photoshop)pluginscompatibility,editIPTCinfo,move,copy,delete,rename,convert,batchconversion,batchrenaming/resizing/cropping,panoramacreation,sendemail,alsoviaIrfanViewThumbnails/Plugins:contactsheetcreation,thumbnailcreation,webgallerycreation,facedetection","FreewareforNoncommercial"
"KSquirrel","disknavigator,filetree,thumbnails,bookmarks,fullscreen,KIPIplugins","resize,rotate,colorize,convert,print","GPL-2.0-or-later"
"KPhotoAlbum","Zoom,rotate,metadata,Exif,thumbnails(customizesize),slideshow,categories","AsAvailableperKIPIplugins","GPL-2.0-or-later"
"Lphoto","Zoom,slideshow,camerainformation","Crop,redeye,colortweaking,autoattachandresizeforemail,exporttoHTML,exporttoCD","GPL"
"MicrosoftPhotos","fullscreen,slideshow,fit,zoom,print","","Proprietary"
"PhaseOneMediaPro","Thumbnails,slideshow,zoom,print,lighttable,libraryorganization,bestpracticeDAM","Rotate,rename,delete,batchrename,add/editmetadata(IPTC,EXIF,Custom),freereaderapptodistributecatalogs","Proprietary"
"Paint.net","Thumbnail,zoom,rotation,multiplepagesupport,pan,fittoscreen","Resize,crop,copy,paste,blackandwhite/sepia,variousblurs,addandreducenoise,pluginsupport","(CreativeCommonsNoncommercialCC-BY-NC)"
"ApplePhotos","","","Proprietary"
"Picasa","Zoom,losslessrotate,histogram,camerainformation,Thumbnails(fullyadjustable),SlideShow(FullScreenw/zoom),Magnifier,Search,Searchforfaces","Crop,straighten,redeye,colortweaking,retouch,tuning,addtext,numerouseffects,batchedit,batchrename,videorendering,HTMLgallerycreation,photobrowserapplicationcreator,screensaver,facerecognition,keywordtagging,geo-tagging,photocollage,originalfilepreservation,reorganizestorage","Proprietary"
"Preview","Zoom,rotate,metadata","Crop,straighten,colortweaking,profileassignment","Proprietary"
"Shotwell","Thumbnails,fullscreen,slideshow,zoom,print,camerainformation,events","Autoenhance,rotate,mirror,flip,redeyereduction,crop,exposure,saturation,tint,temperature,shadows,reverttooriginal,rename,straighten,changetime/date,publishtoFacebook,PicasaWebAlbums,Flickr","LGPL-2.1-or-later"
"STDUViewer","Fullscreen,fittowindow,zoom,print","rotate,brightness,contrast,gammasetting","Proprietary"
"WindowsPhotoGallery","Fullscreen,slideshow,fit,zoom,print","Panoramastitching,adjustbrightness,contrast,colorsaturation/hue,filters,stitching,rotate,straighteningandskew,facerecognition","Proprietary"
"WindowsPhotoViewer","Fullscreen,slideshow,fit,zoom,print","Rotate,lossyJPEGrotate,annotateTIFFimages","Proprietary"
"XnViewandXnViewMP","Thumbnails(user-definedsizes),fullscreen,slideshow,zoom,fit,viewIPTCandExifinfo","Resize,crop,rotate,flip,JPEGlosslessrotate/flip/crop,adjustexposureandcolorsetc.,filters(sharpen,blur,average,emboss),batchconvert,batchrename,editIPTCinfo","Proprietary"
"Xv","ViewasASCIIorhex,magnify,determinepixelvalues","Crop,pad,resize,rotate,flip,brightness,contrast,gamma,saturation,hue,colormap,reducecolors,dither,convert,andmore","Proprietary"
"ZonerPhotoStudio","Thumbnails(user-definedsizes),fullscreen,histogram,slideshowwithtransitioneffects,autorotation,JPEGlosslessrotate,pan,zoom,fit,IPTCandExifinfo,GPSsupport,fullUnicodesupport,freeversiondoesnotsupportcolorprofiles","Resize,crop,rotate,flip,JPEGlosslessrotate/mirror,adjustexposure,colors,contrast,saturation,hue,whitebalance,levels,curves,gammacorrection,filters(sharpen,blur,soften,edge,emboss,average,grayscale,...),.8bf(Photoshop)pluginscompatibility,colormanagement,batchoperations,imageconversionswithreduced/ditheredcolors,batchrename,redeyeremoval,editITPC,XMPandExifinfo,timecreationoffset,mergetoHDR,PDFpresentation,panoramacreation,lenscorrection,anti-vignetting,webpicturegallery,DNG/RAWimageconverter,TWAINscannerssupport,sendpicturesviae-mail,3Dpictures,dynamiccalendargeneration,supportforWICcodecs(RAWprocessing)","Proprietary"
"Name","Viewfunctions","Otherfunctions","License"
