"chuang","???","chuang","ch?uang","chuang","chwang","tch'ouang","tschuang","chuang","chwang","choang","chuanq","???ua?",""
"chui","???","chuei","ch?ui","chuei","chwei","tch'ouei","tschui","chuei","chwei","choei","chuey","???uei",""
"chun","???","chun","ch?un","chuen","chwun","tch'ouen","tschun","chuen","chwen","choen","chuenn","???u?n",""
"chuo","???","chuo","ch?o","chuo","chwo","tch'ouo","tscho","chuo","chwo","chuoo","chuoh","???uo",""
"ci","?","cih","tz??","tsz","tsz","ts'eu","tsï","tsy","tsyr","tsyy","tsyh","ts??",""
"cong","???","cong","ts?ung","tsung","tsung","ts'ong","tsung","tsong","tsorng","tsoong","tsonq","ts???",""
"cou","??","cou","ts?ou","tsou","tsou","ts'eou","tsou","tsou","tsour","tsoou","tsow","ts?ou",""
"cu","??","cu","ts?u","tsu","tsu","ts'ou","tsu","tsu","tswu","tsuu","tsuh","ts?u",""
"cuan","???","cuan","ts?uan","tsuan","tswan","ts'ouan","tsuan","tsuan","tswan","tsoan","tsuann","ts?uan",""
"cui","???","cuei","ts?ui","tsuei","tswei","ts'ouei","tsui","tsuei","tswei","tsoei","tsuey","ts?uei",""
"cun","???","cun","ts?un","tsuen","tswun","ts'ouen","tsun","tsuen","tswen","tsoen","tsuenn","ts?u?n",""
"cuo","???","cuo","ts?o","tsuo","tswo","ts'o","tso","tsuo","tswo","tsuoo","tsuoh","ts?uo",""
"da","??","da","ta","da","da","ta","da","da","dar","daa","dah","ta",""
"dai","??","dai","tai","dai","dai","tai","dai","dai","dair","dae","day","tai",""
"dan","??","dan","tan","dan","dan","tan","dan","dan","darn","daan","dann","tan",""
"dang","??","dang","tang","dang","dang","tang","dang","dang","darng","daang","danq","ta?",""
"dao","??","dao","tao","dau","dau","tao","dau","dau","daur","dao","daw","tau",""
"de","??","de","tê","de","de","tö","dö","de","der","dee","deh","t?",""
"dei","??","dei","tei","dei","dei","tei","de","dei","deir","deei","dey","tei",""
"den","??","den","tên","den","den","","","den","dern","deen","denn","t?n",""
"deng","??","deng","têng","deng","deng","teng","dëng","deng","derng","deeng","denq","t??",""
"di","??","di","ti","di","di","ti","di","di","dyi","dii","dih","ti",""
"dian","???","dian","tien","dian","dyan","tien","diän","dian","dyan","dean","diann","ti?n",""
"diang","???","diang","tiang","diang","dyang","tiang","diäng","diang","dyang","deang","dianq","tia?",""
"diao","???","diao","tiao","diau","dyau","tiao","diau","diau","dyau","deau","diaw","tiau",""
"die","???","die","tieh","die","dye","tie","diä","die","dye","diee","dieh","tie",""
"ding","???","ding","ting","ding","ding","ting","ding","ding","dyng","diing","dinq","ti?",""
"diu","???","diou","tiu","diou","dyou","tieou","diu","diou","dyou","deou","diow","tiou",""
"dong","???","dong","tung","dung","dung","tong","dung","dong","dorng","doong","donq","t??",""
"dou","??","dou","tou","dou","dou","teou","dou","dou","dour","doou","dow","tou",""
"du","??","du","tu","du","du","tou","du","du","dwu","duu","duh","tu",""
"duan","???","duan","tuan","duan","dwan","touan","duan","duan","dwan","doan","duann","tuan",""
"dui","???","duei","tui","duei","dwei","touei","dui","duei","dwei","doei","duey","tuei",""
"dun","???","dun","tun","duen","dwun","touen","dun","duen","dwen","doen","duenn","tu?n",""
"duo","???","duo","to","duo","dwo","to","do","duo","dwo","duoo","duoh","tuo",""
"e","?","e","ê/o","e","e","ngo","o","e","er","ee","eh","?",""
"ê","?","e","eh","ê","e","","","è","èr","èe","èh","?",""
"ei","?","ei","ei","ei","ei","ei","e","ei","eir","eei","ey","ei",""
"en","?","en","ên","en","en","ngen","ën","en","ern","een","enn","?n",""
"eng","?","ong","êng","eng","eng","ngeng","ëng","eng","erng","eeng","enq","??",""
"er","?","er","êrh","er","er","eul","örl","el","erl","eel","ell","a?",""
"fa","??","fa","fa","fa","fa","fa","fa","fa","far","faa","fah","fa",""
"fan","??","fan","fan","fan","fan","fan","fan","fan","farn","faan","fann","fan",""
"fang","??","fang","fang","fang","fang","fang","fang","fang","farng","faang","fanq","fa?",""
"fei","??","fei","fei","fei","fei","fei","fe","fei","feir","feei","fey","fei",""
"fen","??","fen","fên","fen","fen","fen","fën","fen","fern","feen","fenn","f?n",""
"feng","??","fong","fêng","feng","feng","feng","fëng","feng","ferng","feeng","fenq","f??",""
"fo","??","fo","fo","fo","fwo","fo","fo","fo","for","foo","foh","fuo",""
"fou","??","fou","fou","fou","fou","feou","fou","fou","four","foou","fow","fou",""
"fu","??","fu","fu","fu","fu","fou","fu","fu","fwu","fuu","fuh","fu",""
"ga","??","ga","ka","ga","ga","ka","ga","ga","gar","gaa","gah","ka",""
"gai","??","gai","kai","gai","gai","kai","gai","gai","gair","gae","gay","kai",""
"gan","??","gan","kan","gan","gan","kan","gan","gan","garn","gaan","gann","kan",""
"gang","??","gang","kang","gang","gang","kang","gang","gang","garng","gaang","ganq","ka?",""
"gao","??","gao","kao","gau","gau","kao","gau","gau","gaur","gao","gaw","kau",""
"ge","??","ge","ko","ge","ge","kö","gö","ge","ger","gee","geh","k?",""
"gei","??","gei","kei","gei","gei","kei","ge","gei","geir","geei","gey","kei",""
"gen","??","gen","kên","gen","gen","ken","gën","gen","gern","geen","genn","k?n",""
"geng","??","geng","kêng","geng","geng","keng","gëng","geng","gerng","geeng","genq","k??",""
"gong","???","gong","kung","gung","gung","kong","gung","gong","gorng","goong","gonq","k??",""
