"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0066","OutofBandData","Stable","Yes","Unknown","Unknown","No","Unknown","No","Yes","Unknown","Yes","Yes"
"0068","FieldStandardizationforDataForms","Approved","Yes","Unknown","Unknown","No","Unknown","Yes","Yes","Unknown","Yes","Yes"
"0070","VerifyingHTTPRequestsviaXMPP","Stable","No","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0073","BasicIMProtocolSuite","Obsolete","Unknown","Unknown","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"0077","In-BandRegistration","Final","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0078","Non-SASLAuthentication","Obsolete","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"0079","AdvancedMessageProcessing","Stable","Contrib.","Contrib.","Unknown","Yes","No","No","Yes,partial","Unknown","No","Yes"
"0080","UserLocation","Stable","Unknown","Unknown","Unknown","No","Yes","No","Yes","Unknown","Yes","Yes"
"0082","XMPPDateandTimeProfiles","Approved","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Yes","Yes","Yes"
"0083","NestedRosterGroups","Approved","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0084","UserAvatar","Stable","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Yes"
"0085","ChatStateNotifications","Final","Yes","Unknown","Unknown","No","Yes","No","Yes","Unknown","Yes","Yes"
"0086","ErrorConditionMappings","Deprecated","Yes","Unknown","Yes","Yes","No","No","Yes","Yes","No","Yes"
"0090","LegacyEntityTime","Obsolete","Yes","Unknown","Yes","Yes","No","No","No","Yes","Yes","Yes"
"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0091","LegacyDelayedDelivery","Obsolete","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"0092","SoftwareVersion","Stable","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"0093","RosterItemExchange","Deprecated","Unknown","Unknown","Yes","Yes","Unknown","No","Yes","Unknown","No","No"
"0095","StreamInitiation","Deprecated","Unknown","Unknown","Unknown","No","Unknown","No","Yes","Unknown","No","No"
"0096","SIFileTransfer","Deprecated","Unknown","Unknown","Unknown","No","Unknown","No","Yes","Yes","Yes","Yes"
"0106","JIDescaping","Stable","Yes","Unknown","Unknown","No","Yes","No","Yes","Yes","Yes","Yes"
"0107","UserMood","Stable","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Yes"
"0108","UserActivity","Stable","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Yes"
"0114","JabberComponentProtocol","HistoricalUse","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0115","EntityCapabilities","Stable","Yes","Unknown","Unknown","No","Yes","No","Yes","Yes","Yes","Yes"
"0118","UserTune","Stable","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Yes"
"0122","DataFormsValidation","Stable","Unknown","Unknown","Unknown","No","No","No","Yes","No","Yes","No"
"0124","Bidirectional-streamsOverSynchronousHTTP(BOSH)","Stable","Yes","Unknown","Contrib.","No","Yes","No","Yes","Yes","Yes","Yes"
"0126","Invisibility","Approved","Unknown","Unknown","Unknown","No","Yes","No","Yes","Yes","Yes","No"
"0128","ServiceDiscoveryExtensions","Approved","No","Unknown","Unknown","Yes","Yes","Yes","No","Yes","Yes","Yes"
"0130","WaitingLists","Deprecated","No","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0131","StanzaHeadersandInternetMetadata","Stable","No","Unknown","Unknown","No","Unknown","Yes","No","Unknown","Yes","Yes"
"0133","ServiceAdministration","Approved","Yes","Unknown","Unknown","No","Yes","Yes","No","Unknown","Yes","Yes"
"0136","Messagearchiving","Deprecated","Contrib.","Unknown","Contrib.","No","No","No","No","Yes/Plugin","Contrib.","Yes"
"0137","PublishingSIRequests","Deprecated","No","Unknown","Unknown","No","Yes","No","No","Unknown","No","No"
"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0138","StreamCompression","Final","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0148","InstantMessagingIntelligenceQuotient","Humorous","Unknown","Unknown","Unknown","No","unfinished","No","No","Unknown","experimental","Yes"
"0153","vCard-BasedAvatars","HistoricalUse","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0154","Userprofile","Deferred","Contrib.","Unknown","Unknown","No","Yes","No","No","Unknown","No","No"
"0157","ContactAddressesforXMPPServices","Approved","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Contrib.","Yes"
"0158","CAPTCHAForms","Stable","Yes","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0159","Spim-BlockingControl","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","No","No"
"0160","BestPracticesforHandlingOfflineMessages","Approved","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0161","AbuseReporting","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0163","PersonalEventingProtocol","Stable","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Yes","Yes","Yes"
"0168","ResourceApplicationPriority","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0170","RecommendedOrderofStreamFeatureNegotiation","Approved","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0171","LanguageTranslation","Stable","Unknown","Unknown","Unknown","No","No","No","No","Unknown","Yes","No"
"0172","UserNickname","Stable","No","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Yes"
"0175","BestPracticesforUseofSASLANONYMOUS","Approved","Yes","Unknown","Unknown","Yes","Yes","No","Yes","Yes","Yes","Yes"
"0176","JingleICE-UDPTransportMethod","Stable","Yes","Unknown","Unknown","No","Unknown","No","No","Unknown","Yes","Yes"
"0178","BestPracticesforUseofSASLEXTERNALwithCertificates","Approved","No","Unknown","Yes","Yes","Yes","No","No","Unknown","Yes","Yes"
"0182","Application-SpecificErrorConditions","Approved","Unknown","Unknown","Unknown","No","Yes","No","Unknown","Unknown","Yes","No"
"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0184","MessageDeliveryReceipts","Stable","No","Unknown","Unknown","Unknown","Unknown","No","Yes","Unknown","Yes","Yes"
"0185","DialbackKeyGenerationandValidation","Approved","Unknown","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0189","PublicKeyPublishing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","Yes","Yes"
"0190","BestPracticeforClosingIdleStreams","Obsolete","Yes","Unknown","Unknown","Yes","Yes","No","Unknown","Unknown","No","Yes"
"0191","BlockingCommand","Stable","Yes","Unknown","Unknown","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0192","ProposedStreamFeatureImprovements","Obsolete","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"0193","ProposedResourceBindingImprovements","Obsolete","Contrib.","Contrib.","Unknown","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"0194","UserChatting","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"0195","UserBrowsing","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"0198","StreamManagement","Stable","Yes","No","No","Yes","Yes","Yes","Yes","Partial","Yes","Yes"
"0199","XMPPPing","Final","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes"
"0202","EntityTime","Final","Yes","Unknown","Unknown","Yes","Yes","No","Yes","Unknown","Yes","No"
"0203","DelayedDelivery","Final","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0205","BestPracticestoDiscourageDenialofServiceAttacks","Approved","Partial","Yes","Unknown","Yes","Yes","No","Partial","Unknown","No","Yes"
"0206","XMPPoverBOSH","Stable","Yes","Unknown","Unknown","No","Yes","No","Yes","Unknown","Yes","Yes"
"0209","Metacontacts","Deferred","Unknown","Unknown","Unknown","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0212","XMPPBasicServer2008","Obsolete","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes"
"0214","FileRepositoryandSharing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"0215","ExternalServiceDiscovery","Deferred","Yes","No","Unknown","No","Yes","No","No","Unknown","Yes","No"
"0216","XMPPIntermediateIMServer2008","Obsolete","Yes","Unknown","Unknown","Yes","Unknown","No","Yes","Unknown","Yes","Yes"
"0220","ServerDialback","Stable","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes"
"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0221","DataFormsMediaElement","Stable","Unknown","Unknown","Unknown","No","No","No","Unknown","Unknown","Yes","No"
"0223","PersistentStorageofPrivateDataviaPubSub","Approved","Yes","Yes","Unknown","No","Yes","No","No","Unknown","Yes","Yes"
"0225","ComponentConnections","Deferred","No","Unknown","Unknown","Yes","No","No","No","Unknown","No","Yes"
"0227","PortableImport/ExportFormatforXMPP-IMServers(proposed)","Stable","Yes","Unknown","Unknown","No","No","Yes","No","Unknown","Yes","No"
"0230","ServiceDiscoveryNotifications","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0232","SoftwareInformation","Deferred","Unknown","Unknown","Unknown","Yes","No","No","No","Unknown","No","No"
"0233","UseofDomain-BasedServiceNamesinXMPPSASLNegotiation","Stable","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0235","OAuthOverXMPP","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0236","AbuseReporting","Retracted","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0237","RosterVersioning","Obsolete","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes"
"0238","XMPPProtocolFlowsforInter-DomainFederation","Deferred","Unknown","Unknown","Unknown","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"0241","EncryptionofArchivedMessages","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0243","XMPPServerCompliance2009","Obsolete","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes"
"0248","PubSubCollectionNodes","Deferred","Yes","Unknown","Unknown","No","No","No","No","Unknown","No","Partial"
"0252","BOSHScriptSyntax","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","No","No"
"0253","PubSubChaining","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Partial"
"0254","PubSubQueueing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"0255","LocationQuery","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0256","LastActivityinPresence","Stable","Unknown","Unknown","Unknown","No","No","No","Unknown","Unknown","No","No"
"0257","ClientCertificateManagementforSASLEXTERNAL","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","Contrib.","Unknown"
"0258","SecurityLabelsinXMPP","Stable","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No","Unknown","Contrib.","Unknown"
"0259","MessageMine-ing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"0268","IncidentHandling","Deferred","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Contrib.","No"
"0270","XMPPComplianceSuites2010","Obsolete","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Unknown","Unknown","Unknown"
"0273","StanzaInterceptionandFilteringTechnology(SIFT)","Deferred","Unknown","Unknown","Unknown","Unknown","Partial","No","No","Unknown","Contrib.","No"
"0278","JingleRelayNodes","Experimental","Yes","Unknown","Unknown","No","Yes","No","No","Unknown","Unknown","No"
"0279","ServerIPCheck","Deferred","Yes","Unknown","Unknown","No","Yes","No","Yes","Unknown","Contrib.","No"
"0280","MessageCarbons","Experimental","Yes","Unknown","Unknown","Unknown","Yes","No","Yes","Yes","Yes","Yes"
"0288","BidirectionalServer-to-ServerConnections","Stable","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No","Unknown","Unknown","Unknown"
"0289","FederatedMUCforConstrainedEnvironments","Deferred","Unknown","Unknown","Unknown","Unknown","No","Yes","No","Unknown","Unknown","Unknown"
"0302","XMPPComplianceSuites2012","Obsolete","Yes","Unknown","Unknown","Unknown","Yes","No","Yes","Unknown","Unknown","Yes"
"0309","ServiceDirectories","Deferred","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","No","Unknown","Contrib.","Unknown"
"0313","MessageArchiveManagement","Experimental","Yes","Unknown","Unknown","Unknown","Yes","No","Yes","Yes","Yes","Yes"
"0321","RemoteRosterManagement","Deferred","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown"
"0357","PushNotifications","Experimental","Contrib","Unknown","No","No","Yes","No","Yes","No","Contrib.","Yes"
"0363","HTTPFileUpload","Experimental","Contrib","Unknown","No","No","Yes","No","Yes","Yes/Plugin","Yes","Yes"
"0375","XMPPComplianceSuites2016","Retracted","Contrib","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"0376","PubsubAccountManagement","Deferred","Contrib","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"0387","XMPPComplianceSuites2018","Obsolete","Yes.","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"0412","XMPPComplianceSuites2019","Obsolete","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"0423","XMPPComplianceSuites2020","Stable","Unknown","Unknown","Unknown","Unknown","Yes.","Unknown","Unknown","Unknown","Unknown","Unknown"
"0443","XMPPComplianceSuites2021","Stable","Unknown.","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
