"Soundbooth","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Soundscape32","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SoX","Unknown","Unknown","Unknown","Yes","ExternalLAME","Unknown","Yes","Unknown","Yes","Yes","AUandotheraudiofileformats"
"SpectraLayers","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes",".caf,.alac,RAW/PCM,.rm,.au,.snd,AVI,MXF,MP1,MP2,MP4,MKV,Quicktime,.vob,.wmv,WMA"
"StudioOne","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","OpenTL,BWF,RF64,PreSonusCaptureSession,SteinbergCubaseTrackArchive,SteinbergSequelProject,KristalAudioEngineProject"
"Sweep","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","VariousversionsofWAV(integer,floatingpoint,GSM,andcompressedformats);MicrosoftPCM,A-lawandu-lawformats;AIFCandRIFX;variousAU/SNDformats(Sun/NeXT,DecAU,G721andG723ADPCM);RAWheader-lessPCMfiles;AmigaIFF/8SVX/16SVPCMfiles;EnsoniqPARIS(.PAF);Apple'sCoreAudioFormat(CAF)andothers."
"TotalRecorder","No","No","No","No","Yes","No","Yes","No","No","Yes","PCM(uncompressed),WMA,Monkey'sAudio(APE)."
"Waveform","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Traverso","No","No","Unknown","Yes","Yes","Unknown","Yes","Unknown","No","Yes","WavPack"
"WaveLab","No","No","Controllers","Yes","Yes","Yes","Yes","No","Yes","Yes","AU,MP2,RAW"
"WavePad","No","No","Import","Yes","Yes","Yes","Yes","No","Yes","Yes","importmidi,SunAU,MPEG4audio,GSM,RAW,DialogicVOX,AMRNarrowband,Musepack,Monkey'sAudioCodec,others"
"WaveSurfer","No","No","No","Yes","Import","No","Withplugin","No","Yes","No","Import:AU,CSL,SDExport:AU"
"","OMF","AAF","MIDI","WAV","MP3","AAC","Ogg","REX2","AIFF","FLAC","Others"
