"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"DOM1","profile","8.0","?","1.0","?","?","1.0"
"InterfaceHTMLLinkElement","InterfaceHTMLLinkElement","InterfaceHTMLLinkElement","InterfaceHTMLLinkElement","InterfaceHTMLLinkElement","InterfaceHTMLLinkElement","InterfaceHTMLLinkElement","InterfaceHTMLLinkElement"
"DOM1","disabled","4.0","Yes","1.0","?","?","1.0"
"DOM1","charset","4.0","Yes","1.0","?","?","1.0"
"DOM1","href","8.0","Yes","1.0","?","?","1.0"
"DOM1","hreflang","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","media","?","Yes","1.0","?","1.0"
"DOM1","4.0","rel","?","Yes","1.0","?","1.0"
"DOM1","4.0","rev","?","Yes","1.0","?","1.0"
"DOM1","4.0","target","?","Yes","1.0","?","1.0"
"DOM1","4.0","type","?","Yes","1.0","?","1.0"
"InterfaceHTMLTitleElement","InterfaceHTMLTitleElement","InterfaceHTMLTitleElement","InterfaceHTMLTitleElement","InterfaceHTMLTitleElement","InterfaceHTMLTitleElement","InterfaceHTMLTitleElement","InterfaceHTMLTitleElement"
"DOM1","text","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLMetaElement","InterfaceHTMLMetaElement","InterfaceHTMLMetaElement","InterfaceHTMLMetaElement","InterfaceHTMLMetaElement","InterfaceHTMLMetaElement","InterfaceHTMLMetaElement","InterfaceHTMLMetaElement"
"DOM1","content","4.0","Yes","1.0","?","?","1.0"
"DOM1","httpEquiv","4.0","Yes","1.0","?","?","1.0"
"DOM1","name","4.0","Yes","1.0","?","?","1.0"
"DOM1","scheme","6.0","?","1.0","?","?","2.0"
"InterfaceHTMLBaseElement","InterfaceHTMLBaseElement","InterfaceHTMLBaseElement","InterfaceHTMLBaseElement","InterfaceHTMLBaseElement","InterfaceHTMLBaseElement","InterfaceHTMLBaseElement","InterfaceHTMLBaseElement"
"DOM1","href","8.0","Yes","1.0","?","?","2.0"
"DOM1","target","4.0","Yes","1.0","?","?","2.0"
"InterfaceHTMLStyleElement","InterfaceHTMLStyleElement","InterfaceHTMLStyleElement","InterfaceHTMLStyleElement","InterfaceHTMLStyleElement","InterfaceHTMLStyleElement","InterfaceHTMLStyleElement","InterfaceHTMLStyleElement"
"DOM2","disabled","?","?","1.0","?","?","1.0"
"DOM2","media","4.0","Yes","1.0","?","?","1.0"
"DOM2","4.0","Yes","type","?","?","1.0","1.0"
"InterfaceHTMLBodyElement","InterfaceHTMLBodyElement","InterfaceHTMLBodyElement","InterfaceHTMLBodyElement","InterfaceHTMLBodyElement","InterfaceHTMLBodyElement","InterfaceHTMLBodyElement","InterfaceHTMLBodyElement"
"DOM1","aLink","4.0","Yes","1.0","?","?","1.0"
"DOM1","background","8.0","Yes","1.0","?","?","1.0"
"DOM1","bgColor","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","link","?","Yes","1.0","?","1.0"
"DOM1","4.0","text","?","Yes","1.0","?","1.0"
"DOM1","4.0","vLink","?","Yes","1.0","?","1.0"
"InterfaceHTMLFormElement","InterfaceHTMLFormElement","InterfaceHTMLFormElement","InterfaceHTMLFormElement","InterfaceHTMLFormElement","InterfaceHTMLFormElement","InterfaceHTMLFormElement","InterfaceHTMLFormElement"
"DOM1","action","8.0","Yes","1.9","?","?","1.0"
"DOM1","acceptEncoding","?","?","1.0","?","?","1.0"
"DOM1","elements","3.0","1.0","Yes","?","?","1.0"
"DOM1","3.0","Yes","length","?","1.0","?","1.0"
"DOM1","3.0","Yes","name","?","1.0","?","1.0"
"DOM1","enctype","Yes","4.0","1.0","?","?","1.0"
"DOM1","method","Yes","3.0","1.0","?","?","1.0"
"DOM1","3.0","target","Yes","?","1.0","?","1.0"
"DOM1","3.0","submit()","Yes","?","1.0","?","1.0"
"DOM1","reset()","Yes","4.0","1.0","?","?","1.0"
"InterfaceHTMLSelectElement","InterfaceHTMLSelectElement","InterfaceHTMLSelectElement","InterfaceHTMLSelectElement","InterfaceHTMLSelectElement","InterfaceHTMLSelectElement","InterfaceHTMLSelectElement","InterfaceHTMLSelectElement"
"DOM1","selectedIndex","3.0","Yes","1.0","?","?","1.0"
"DOM1","length","3.0","Yes","1.0","?","?","1.0"
"DOM1","options","3.0","Yes","1.0","?","?","1.0"
"DOM1","name","3.0","Yes","1.0","?","?","1.0"
"DOM1","size","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","type","?","Yes","1.0","?","1.0"
"DOM1","4.0","value","?","Yes","1.0","?","1.0"
"DOM1","disabled","5.0","Yes","1.0","?","?","1.0"
"DOM1","5.0","multiple","?","Yes","1.0","?","1.0"
"DOM1","form","?","?","1.0","?","?","1.0"
"DOM1","tabIndex","?","?","1.0","?","?","1.0"
"DOM1","add()","?","?","1.0","?","?","1.0"
"DOM1","remove()","?","?","1.0","?","?","1.0"
"DOM1","blur()","3.0","Yes","1.0","?","?","1.0"
"DOM1","3.0","Yes","focus()","?","?","1.0","1.0"
"InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement","InterfaceHTMLOptGroupElement"
"DOM1","disabled","?","?","1.0","?","?","2.0"
"DOM1","label","No","Yes","1.0","?","?","2.0"
"InterfaceHTMLOptionElement","InterfaceHTMLOptionElement","InterfaceHTMLOptionElement","InterfaceHTMLOptionElement","InterfaceHTMLOptionElement","InterfaceHTMLOptionElement","InterfaceHTMLOptionElement","InterfaceHTMLOptionElement"
"DOM1","form","4.0","Yes","1.0","?","?","1.0"
"DOM1","defaultSelected","4.0","Yes","1.0","?","?","1.0"
"DOM1","text","4.0","Yes","1.0","?","?","1.0"
"DOM1","index","?","?","1.0","?","?","1.0"
"DOM1","disabled","?","?","1.0","?","?","1.0"
"DOM1","label","6.0","Yes","1.0","?","?","2.0"
"DOM1","selected","Yes","4.0","?","1.0","?","1.0"
"DOM1","4.0","value","Yes","1.0","?","?","1.0"
"InterfaceHTMLInputElement","InterfaceHTMLInputElement","InterfaceHTMLInputElement","InterfaceHTMLInputElement","InterfaceHTMLInputElement","InterfaceHTMLInputElement","InterfaceHTMLInputElement","InterfaceHTMLInputElement"
"DOM1","defaultValue","3.0","Yes","1.0","?","?","1.0"
"DOM1","defaultChecked","3.0","Yes","1.0","?","?","1.0"
"DOM1","form","3.0","Yes","1.0","?","?","1.0"
"DOM1","accept","?","?","1.0","?","?","1.0"
"DOM1","accesskey","?","?","1.0","?","?","1.0"
"DOM1","align","?","?","1.0","?","?","1.0"
"DOM1","alt","?","?","1.0","?","?","1.0"
"DOM1","checked","3.0","Yes","1.0","?","?","1.0"
"DOM1","disabled","Yes","5.0","?","1.0","?","1.0"
"DOM1","maxLength","Yes","4.0","?","1.0","?","2.0"
"DOM1","name","Yes","3.0","?","1.0","?","1.0"
"DOM1","readOnly","Yes","4.0","1.0","?","1.0","?"
"DOM1","4.0","size","Yes","?","1.0","?","1.0"
"DOM1","4.0","src","Yes","1.9","1.0","?","?"
"DOM1","tabIndex","?","?","1.0","1.0","?","?"
"DOM1","type","4.0","1.0","Yes","1.0","?","?"
"DOM1","useMap","?","1.0","?","1.0","?","?"
"DOM1","value","3.0","1.0","Yes","1.0","?","?"
"DOM1","3.0","Yes","blur()","?","1.0","?","1.0"
"DOM1","3.0","Yes","focus()","?","1.0","?","1.0"
"DOM1","3.0","Yes","select()","?","1.0","?","1.0"
"DOM1","3.0","Yes","click()","?","1.0","?","1.0"
"InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement","InterfaceHTMLTextAreaElement"
"DOM1","defaultValue","3.0","Yes","1.0","?","?","1.0"
"DOM1","form","3.0","Yes","1.0","?","?","1.0"
"DOM1","accesskey","?","?","1.0","?","?","1.0"
"DOM1","cols","4.0","Yes","1.0","?","?","1.0"
"DOM1","disabled","Yes","5.0","?","1.0","?","1.0"
"DOM1","name","Yes","3.0","?","1.0","?","1.0"
"DOM1","readOnly","Yes","4.0","?","1.0","?","1.0"
"DOM1","4.0","rows","Yes","?","?","1.0","1.0"
"DOM1","tabIndex","?","?","1.0","?","?","1.0"
"DOM1","type","4.0","Yes","1.0","?","?","1.0"
"DOM1","value","Yes","3.0","?","1.0","?","1.0"
"DOM1","3.0","blur()","Yes","?","?","1.0","1.0"
"DOM1","3.0","focus()","Yes","?","?","1.0","1.0"
"DOM1","3.0","select()","Yes","?","?","1.0","1.0"
"InterfaceHTMLButtonElement","InterfaceHTMLButtonElement","InterfaceHTMLButtonElement","InterfaceHTMLButtonElement","InterfaceHTMLButtonElement","InterfaceHTMLButtonElement","InterfaceHTMLButtonElement","InterfaceHTMLButtonElement"
"DOM1","form","3.0","Yes","1.0","?","?","1.0"
"DOM1","accesskey","?","?","1.0","?","?","1.0"
"DOM1","disabled","5.0","Yes","1.0","?","?","1.0"
"DOM1","name","Yes","3.0","?","1.0","?","1.0"
"DOM1","tabIndex","?","?","1.0","?","?","1.0"
"DOM1","type","3.0","Yes","1.0","?","?","1.0"
"DOM1","3.0","Yes","value","?","?","1.0","1.0"
"InterfaceHTMLLabelElement","InterfaceHTMLLabelElement","InterfaceHTMLLabelElement","InterfaceHTMLLabelElement","InterfaceHTMLLabelElement","InterfaceHTMLLabelElement","InterfaceHTMLLabelElement","InterfaceHTMLLabelElement"
"DOM1","form","6.0","Yes","1.0","?","?","1.0"
"DOM1","accesskey","5.0","Yes","1.0","?","?","1.0"
"DOM1","htmlFor","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement","InterfaceHTMLFieldSetElement"
"DOM1","form","5.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLLegendElement","InterfaceHTMLLegendElement","InterfaceHTMLLegendElement","InterfaceHTMLLegendElement","InterfaceHTMLLegendElement","InterfaceHTMLLegendElement","InterfaceHTMLLegendElement","InterfaceHTMLLegendElement"
"DOM1","form","5.0","Yes","1.0","?","?","1.0"
"DOM1","accesskey","?","?","1.0","?","?","1.0"
"DOM1","align","5.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLUListElement","InterfaceHTMLUListElement","InterfaceHTMLUListElement","InterfaceHTMLUListElement","InterfaceHTMLUListElement","InterfaceHTMLUListElement","InterfaceHTMLUListElement","InterfaceHTMLUListElement"
"DOM1","compact","4.0","Yes","1.0","?","?","1.0"
"DOM1","type","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLOListElement","InterfaceHTMLOListElement","InterfaceHTMLOListElement","InterfaceHTMLOListElement","InterfaceHTMLOListElement","InterfaceHTMLOListElement","InterfaceHTMLOListElement","InterfaceHTMLOListElement"
"DOM1","compact","4.0","Yes","1.0","?","?","1.0"
"DOM1","start","4.0","Yes","1.0","?","?","1.0"
"DOM1","type","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLDListElement","InterfaceHTMLDListElement","InterfaceHTMLDListElement","InterfaceHTMLDListElement","InterfaceHTMLDListElement","InterfaceHTMLDListElement","InterfaceHTMLDListElement","InterfaceHTMLDListElement"
"DOM1","compact","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLLIElement","InterfaceHTMLLIElement","InterfaceHTMLLIElement","InterfaceHTMLLIElement","InterfaceHTMLLIElement","InterfaceHTMLLIElement","InterfaceHTMLLIElement","InterfaceHTMLLIElement"
"DOM1","type","4.0","Yes","1.0","?","?","1.0"
"DOM1","value","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLDivElement","InterfaceHTMLDivElement","InterfaceHTMLDivElement","InterfaceHTMLDivElement","InterfaceHTMLDivElement","InterfaceHTMLDivElement","InterfaceHTMLDivElement","InterfaceHTMLDivElement"
"DOM1","align","?","?","1.0","?","?","1.0"
"InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement","InterfaceHTMLParagraphElement"
"DOM1","align","?","?","1.0","?","?","1.0"
"InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement","InterfaceHTMLHeadingElement"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement","InterfaceHTMLQuoteElement"
"DOM1","cite","8.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLPreElement","InterfaceHTMLPreElement","InterfaceHTMLPreElement","InterfaceHTMLPreElement","InterfaceHTMLPreElement","InterfaceHTMLPreElement","InterfaceHTMLPreElement","InterfaceHTMLPreElement"
"DOM1","width","?","?","1.0","?","?","1.0"
"InterfaceHTMLBRElement","InterfaceHTMLBRElement","InterfaceHTMLBRElement","InterfaceHTMLBRElement","InterfaceHTMLBRElement","InterfaceHTMLBRElement","InterfaceHTMLBRElement","InterfaceHTMLBRElement"
"DOM1","clear","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLHRElement","InterfaceHTMLHRElement","InterfaceHTMLHRElement","InterfaceHTMLHRElement","InterfaceHTMLHRElement","InterfaceHTMLHRElement","InterfaceHTMLHRElement","InterfaceHTMLHRElement"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","noShade","4.0","Yes","1.0","?","?","1.0"
"DOM1","size","4.0","Yes","1.0","?","?","1.0"
"DOM1","width","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLModElement","InterfaceHTMLModElement","InterfaceHTMLModElement","InterfaceHTMLModElement","InterfaceHTMLModElement","InterfaceHTMLModElement","InterfaceHTMLModElement","InterfaceHTMLModElement"
"DOM1","cite","8.0","?","1.9","?","?","1.0"
"DOM1","dateTime","?","?","1.0","?","?","1.0"
"InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement","InterfaceHTMLAnchorElement"
"DOM1","accesskey","?","?","1.0","?","?","1.0"
"DOM1","charset","6.0","Yes","1.0","?","?","1.0"
"DOM1","6.0","Yes","coords","?","?","1.0","1.0"
"DOM1","href","Yes","3.0","?","1.0","?","1.0"
"DOM1","hreflang","Yes","6.0","?","1.0","?","1.0"
"DOM1","name","Yes","4.0","?","1.0","?","1.0"
"DOM1","4.0","rel","Yes","?","?","1.0","1.0"
"DOM1","4.0","rev","Yes","?","?","1.0","1.0"
"DOM1","shape","Yes","6.0","?","1.0","?","1.0"
"DOM1","tabIndex","?","?","1.0","?","?","1.0"
"DOM1","target","3.0","Yes","1.0","?","?","1.0"
"DOM1","type","Yes","6.0","?","1.0","?","1.0"
"DOM1","blur()","?","?","1.0","?","?","1.0"
"DOM1","focus()","?","?","1.0","?","?","1.0"
"InterfaceHTMLImageElement","InterfaceHTMLImageElement","InterfaceHTMLImageElement","InterfaceHTMLImageElement","InterfaceHTMLImageElement","InterfaceHTMLImageElement","InterfaceHTMLImageElement","InterfaceHTMLImageElement"
"DOM1","name","4.0","Yes","1.0","?","?","1.0"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","alt","4.0","Yes","1.0","?","?","1.0"
"DOM1","border","4.0","Yes","1.0","?","?","1.0"
"DOM1","height","4.0","Yes","1.0","?","?","1.0"
"DOM1","hspace","4.0","Yes","1.0","?","?","1.0"
"DOM1","isMap","4.0","Yes","1.0","?","?","1.0"
"DOM1","longDesc","8.0","?","1.0","?","?","2.0"
"DOM1","src","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","useMap","?","1.0","?","1.0"
"DOM1","4.0","Yes","vspace","?","1.0","?","1.0"
"DOM1","4.0","Yes","width","?","1.0","?","1.0"
"InterfaceHTMLObjectElement","InterfaceHTMLObjectElement","InterfaceHTMLObjectElement","InterfaceHTMLObjectElement","InterfaceHTMLObjectElement","InterfaceHTMLObjectElement","InterfaceHTMLObjectElement","InterfaceHTMLObjectElement"
"DOM1","form","?","?","1.0","?","?","1.0"
"DOM1","code","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","align","?","?","1.0","1.0"
"DOM1","archive","?","?","1.0","?","?","1.0"
"DOM1","border","?","?","1.0","?","?","1.0"
"DOM1","codeBase","8.0","Yes","1.0","?","?","1.0"
"DOM1","codeType","Yes","4.0","?","1.0","?","1.0"
"DOM1","data","Yes","8.0","?","1.0","?","1.0"
"DOM1","declare","?","?","1.0","?","?","2.0"
"DOM1","height","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","hspace","?","1.0","?","1.0"
"DOM1","4.0","Yes","name","?","1.0","?","1.0"
"DOM1","standby","?","?","1.0","1.0","?","?"
"DOM1","tabIndex","?","?","1.0","1.0","?","?"
"DOM1","type","4.0","Yes","1.0","1.0","?","?"
"DOM1","useMap","?","?","1.0","1.0","?","?"
"DOM1","vspace","4.0","Yes","1.0","1.0","?","?"
"DOM1","4.0","Yes","width","?","?","1.0","1.0"
"DOM2","contentDocument","Yes","No","?","1.0","?","2.0"
"InterfaceHTMLParamElement","InterfaceHTMLParamElement","InterfaceHTMLParamElement","InterfaceHTMLParamElement","InterfaceHTMLParamElement","InterfaceHTMLParamElement","InterfaceHTMLParamElement","InterfaceHTMLParamElement"
"DOM1","name","?","?","1.0","?","?","1.0"
"DOM1","type","?","?","1.0","?","?","1.0"
"DOM1","value","?","?","1.0","?","?","1.0"
"DOM1","valueType","No","?","1.0","?","?","1.0"
"InterfaceHTMLMapElement","InterfaceHTMLMapElement","InterfaceHTMLMapElement","InterfaceHTMLMapElement","InterfaceHTMLMapElement","InterfaceHTMLMapElement","InterfaceHTMLMapElement","InterfaceHTMLMapElement"
"DOM1","areas","4.0","Yes","1.0","?","?","1.0"
"DOM1","name","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLAreaElement","InterfaceHTMLAreaElement","InterfaceHTMLAreaElement","InterfaceHTMLAreaElement","InterfaceHTMLAreaElement","InterfaceHTMLAreaElement","InterfaceHTMLAreaElement","InterfaceHTMLAreaElement"
"DOM1","accesskey","?","?","1.0","?","?","1.0"
"DOM1","alt","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","coords","?","?","1.0","1.0"
"DOM1","hrefs","?","?","1.0","?","?","1.0"
"DOM1","noHrefs","?","?","1.0","?","?","1.0"
"DOM1","shape","4.0","Yes","1.0","?","?","1.0"
"DOM1","tabIndex","?","?","1.0","?","?","1.0"
"DOM1","target","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLScriptElement","InterfaceHTMLScriptElement","InterfaceHTMLScriptElement","InterfaceHTMLScriptElement","InterfaceHTMLScriptElement","InterfaceHTMLScriptElement","InterfaceHTMLScriptElement","InterfaceHTMLScriptElement"
"DOM1","text","4.0","0","1.0","?","?","1.0"
"DOM1","htmlFor(reservedforfutureuse)","4.0","Yes","1.0","?","?","No"
"DOM1","Yes","event(reservedforfutureuse)","4.0","?","1.0","?","2.0"
"DOM1","charset","?","?","1.0","?","?","1.0"
"DOM1","defer","4.0","Yes","1.0","1.0","?","?"
"DOM1","src","Yes","8.0","?","1.0","1.0","?"
"DOM1","type","Yes","4.0","?","1.0","1.0","?"
"DOM1","target","?","?","1.0","1.0","?","?"
"InterfaceHTMLTableElement","InterfaceHTMLTableElement","InterfaceHTMLTableElement","InterfaceHTMLTableElement","InterfaceHTMLTableElement","InterfaceHTMLTableElement","InterfaceHTMLTableElement","InterfaceHTMLTableElement"
"DOM1","caption","4.0","Yes","1.0","?","?","1.0"
"DOM1","tHead","4.0","Yes","1.0","?","?","1.0"
"DOM1","tFoot","4.0","Yes","1.0","?","?","1.0"
"DOM1","rows","4.0","Yes","1.0","?","?","1.0"
"DOM1","tBodies","4.0","Yes","1.0","?","?","1.0"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","bgColor","4.0","Yes","1.0","?","?","1.0"
"DOM1","border","4.0","Yes","1.0","?","?","1.0"
"DOM1","cellPadding","4.0","Yes","1.0","No","?","1.0"
"DOM1","cellSpacing","4.0","Yes","1.0","?","?","1.0"
"DOM1","frame","4.0","Yes","1.0","?","?","1.0"
"DOM1","rules","4.0","No","1.0","?","?","1.0"
"DOM1","No","summary","6.0","?","1.0","?","1.0"
"DOM1","width","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","createTHead()","?","?","1.0","1.0"
"DOM1","4.0","Yes","deleteTHead()","?","?","1.0","1.0"
"DOM1","4.0","Yes","createTFoot()","?","?","1.0","1.0"
"DOM1","4.0","Yes","deleteTFoot()","?","?","1.0","1.0"
"DOM1","4.0","Yes","createCaption()","?","?","1.0","1.0"
"DOM1","4.0","Yes","deleteCaption()","?","?","1.0","1.0"
"DOM1","4.0","Yes","insertRow()","?","?","1.0","1.0"
"DOM1","4.0","Yes","deleteRow()","?","?","1.0","1.0"
"InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement","InterfaceHTMLTableCaptionElement"
"DOM1","align","5.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLTableColElement","InterfaceHTMLTableColElement","InterfaceHTMLTableColElement","InterfaceHTMLTableColElement","InterfaceHTMLTableColElement","InterfaceHTMLTableColElement","InterfaceHTMLTableColElement","InterfaceHTMLTableColElement"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","ch","6.0","No","1.0","?","?","2.0"
"DOM1","6.0","No","chOff","?","2.0","?","1.0"
"DOM1","span","5.0","Yes","1.0","?","?","1.0"
"DOM1","vAlign","Yes","4.0","?","1.0","1.0","?"
"DOM1","width","5.0","0","1.0","1.0","?","?"
"InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement","InterfaceHTMLTableSectionElement"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","ch","6.0","No","1.0","?","?","2.0"
"DOM1","6.0","No","chOff","?","2.0","?","1.0"
"DOM1","vAlign","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","rows","?","1.0","?","1.0"
"DOM1","4.0","Yes","insertRow()","?","1.0","?","1.0"
"DOM1","4.0","Yes","deleteRow()","?","1.0","?","1.0"
"InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement","InterfaceHTMLTableRowElement"
"DOM1","rowIndex","4.0","Yes","1.0","?","?","1.0"
"DOM1","sectionRowIndex","4.0","Yes","1.0","?","?","1.0"
"DOM1","cells","4.0","Yes","1.0","?","?","1.0"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","bgColor","4.0","Yes","1.0","?","?","1.0"
"DOM1","ch","6.0","No","1.0","?","?","2.0"
"DOM1","6.0","No","chOff","?","2.0","?","1.0"
"DOM1","vAlign","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","Yes","insertCell()","?","1.0","?","1.0"
"DOM1","4.0","Yes","deleteCell()","?","1.0","?","1.0"
"InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement","InterfaceHTMLTableCellElement"
"DOM1","cellIndex","4.0","Yes","1.0","Incorrect","?","1.0"
"DOM1","abbr","6.0","Yes","1.0","?","?","2.0"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","axis","6.0","Yes","1.0","1.0","?","?"
