"Distribution","x86","x86-64","arm","ia64","ppc","ppc64","sparc32","sparc64","hppa","loongson","mips","sh","s390","s390x","alpha","m68k","riscv"
"SabayonLinux","Discontinued","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ScientificLinux","Yes","Yes","No","Discontinued3-4","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SHR","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Slackware","Yes","Yes","Yes","No","No","No","Discontinued?","No","No","No","No","No","Discontinued?","Discontinued?","Discontinued8.1","No","No"
"Solus","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SourceMageGNU/Linux","Yes","Yes","No","No","Yes","No","No","No","No","?","No","No","No","No","No","No","No"
"SUSELinuxEnterpriseServer","Yes","Yes","AArch64only","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No"
"TrisquelGNU/Linux","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"TurnKeyGNU/Linux","SelectedISOsavailable","Yes","No-butunderdevelopmentbycommunity","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ubuntu/Kubuntu/Xubuntu/Lubuntu","DiscontinuedfromUbuntu20.04","Yes","Yes,including64-bitARMv8-A","No","Yes","Yes","No","No","No","No","No","No","No","Ubuntuonly,16.04+","No","No","No"
"Ututo","Yes","Yes","No","No","No","No","No","No","No","Inprogress","No","No","No","No","No","No","No"
"VoidLinux","Yes","Yes","Yes","No","Unofficial","Unofficial","No","No","No","No","No","No","No","No","No","No","No"
"XBMCbuntu","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"YellowDogLinux","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Distribution","x86","x86-64","arm","ia64","ppc","ppc64","sparc32","sparc64","hppa","loongson","mips","sh","s390","s390x","alpha","m68k","riscv"
