"Driverfamily","Driver","Chipsets","ChipsetPHYModes","Integrationinmainline","Non-freefirmwarerequired","License","Development"
"orinoco","orinoco","LucentHermes(WaveLAN/ORiNOCO);IntersilPRISM-II,PRISM-2.5;SymbolSpectrum24802.11B","?","Yes","RequiredforWPAsupport","",""
"prism54-p54","p54","Prism54:Intersil/ConexantISL3877,ISL3880,ISL3886,ISL3887,ISL3890","?","Yes(~Aug2007)","ExperimentalOSSfirmware","",""
"prism54-p54","prism54","Prism54:Intersil/ConexantISL3877,ISL3880,ISL3886,ISL3887,ISL3890","?","Yes(before2.6.12)","ExperimentalOSSfirmware","","Reverse-engineered;obsoletedbyp54."
"rt2x00","rt2400pci","MediaTek(Ralink)RT2460","b","Yes(since2.6.24)","No","GPLv2+","rt2x00.serialmonkey.com;FrompartialdocumentationandGPLdriversbyRalink"
"rt2x00","rt2500pci","RT2560","b/g","Yes","No","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt61pci","RT2561,RT2561S,RT2661","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt2800pci","RT2760,RT2790,RT2860,RT2880,RT2890,RT3052,RT3090,RT3091,RT3092RT3390,RT3060,RT3062,RT3562,RT3592,RT5390,RT3290","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt2500usb","RT2571&RT2572","b/g","Yes","No","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt73usb","RT2571W,RT2573&RT2671","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt2800usb","RT2770,RT2870&RT3070,RT3071&RT3072RT3370,RT3572,RT5370,RT5572","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rtl818x","rtl8180","RTL8180,RTL8185,RTL8187SE","b/g","Yes","No","GPL",""
"rtl818x","rtl8187","RTL8187,RTL8187B","a/b/g","Yes","No","GPL",""
"rtl8xxxu","rtl819x","RTL8723AU,RTL8723BU,RTL8188CUS,RTL8191EU,RTL8192EU,RTL8188EU,RTL8188RU","?","Yes","No","GPLv2","various"
"rtlwifirtl?wifi","rtl8188ee","Realtek","?","Yes(since2.6.38)","Yes","GPL","WrittenbyRealteketal.Forkedfromrtl8180-sa2400project."
"rtlwifirtl?wifi","rtl8192c","","?","Yes","","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8192ce","","?","Yes","Yes","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8192cu","","?","Yes","Yes","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8192de","","?","Yes","Yes","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8192se","","?","Yes","Yes","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8723ae","","?","Yes","Yes","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8188eu","RTL8188EUe.g.intheTP-LinkTL-WN725N","?","Yes(since3.12)","Yes","GPL","WrittenbyRealteketal."
"rtlwifirtl?wifi","rtl8821ae","RTL8812AE,RTL8821AE","ac","Yes(since3.16)","Yes","GPL","?"
"rsi9113","RSI9113","RedpineSignalsSDIO,USBadapters","","Yes","","GPL","WrittenbyRedpineSignalsInc."
"ti","wl1251","TexasInstrumentsTIwl1251(SDIO/SPI)","?","Yes","Yes","GPL","WrittenbyNokia"
"ti","wl12xx","TexasInstrumentsTIwl1271,wl1273,wl1281andwl1283","?","Yes(Onlyupto3.2)","Yes","GPL","WrittenbyNokiaandTexasInstruments"
"ti","wl18xx","TexasInstrumentsTIWiLink8","?","Yes","Yes","GPL","WrittenbyTexasInstruments"
"zd1211rw","zd1211rw","ZyDASZD1211/ZD1211B(USB)","?","Yes","Yes","GPL","various"
