"Software","Collaborativesoftware","Issuetrackingsystem","Scheduling","Projectportfoliomanagement","Resourcemanagement","Documentmanagement","Workflowsystem","Reportingandanalyses"
"Tuleap","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Twproject","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"UniPhi","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"VPMi","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"web2project","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"Workamajig","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Workfront","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WorkPLANEnterprise","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Workspace.com","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown"
"Wrike","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZohoProjects","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
