"Audiocompressionformat","Creator","Firstpublicreleasedate","Lateststableversion","Cost","Cost","Proprietaryimplementations(codecs)","Open-sourceimplementations(codecs)","Uses(otherthanconsumeraudio)","Musicreproduction(consumeraudio)","Telephonyapp","Losslessaudiocompression","Patented","DRM"
"G.722.2(AMR-WB)","ITU-T(adopteddirectlyfrom3GPP)","2002-01","G.722.2(07/03)","Non-free","Non-free","QuickTime,RealPlayer","FFmpeg(decodingonly),FFmpegwithVisualOnlibraries,Android(decodingonly)","voicerecording,audio","No","No","No","Yes","No"
"G.723.1","ITU-T","1996-03","G.723.1(05/06)","Non-free","Non-free","VariousproprietaryVoIPsoftware","FFmpeg","voicerecording","No","Yes","No","Yes","No"
"G.726","ITU-T","1990-12","","Free","Free","VariousproprietaryVoIPsoftware","FFmpeg,EkigaandotherVoIPsoftware","voicerecording","No","Yes","No","No","No"
"G.728","ITU-T","1992-09","","Non-free","Non-free","VariousproprietaryVoIPsoftware","","voicerecording","No","Yes","No","Yes","No"
"G.729","ITU-T","1996-03","G.729(06/12)","Free","Free","VariousproprietaryVoIPsoftware","FFmpeg(decodingonly)","voicerecording","No","Yes","No","Expired","No"
"G.729.1","ITU-T","2006-05","G.729.1Am.8(03/13)","Free","Free","VariousproprietaryVoIPsoftware","","voicerecording,DECTtelephony","No","Yes","No","No","No"
"GSM-FR","ETSISpecialMobileGroup","1990-1994(ETS300580-2)","ETSIEN300961V8.1.1(2000–11)","Free","Free","","FFmpeg(decodingonly),FFmpegwithexternallibrarylibgsm,EkigaandotherVoIPsoftware","voicerecording","No","Yes","No","?","No"
"HE-AAC","ISO/IECMPEGAudioCommittee","2003","ISO/IEC14496-3","?","?","?","?","?","Yes","No","No","?","?"
"iLBC","GlobalIPSolutions","2002","RFC3951","Free","Free","CiscoIPCommunicator,oldversionsofSkype","Ekiga,Asterisk(PBX)andotherVoIPsoftware,FFmpegwithlibilbclibrary","voicerecording","No","Yes","No","Free","No"
"iSAC","GlobalIPSolutions","?","","Free","Free","Yahoo!Messenger","WebRTC","voicerecording","No","Yes","No","Yes","?"
"Monkey'sAudio","MatthewT.Ashland","2000","7.33(2022-02-09)","Free","Free","Monkey'sAudio","FFmpeg(decodingonly)","MusicArchival","Yes","No","Yes","No","No"
"MP2(MPEG-1,2AudioLayerII)","ISO/IECMPEGAudioCommittee","1993","ISO/IEC11172-3,ISO/IEC13818-3","Free","Free","variousDVDsoftware,videosoftware,audiosoftware","TooLAME(encodingonly),TwoLAME(encodingonly),FFmpeg","DAB,DVB,DVD","Yes","No","No","Free","?"
"MP3","ISO/IECMPEGAudioCommittee","1993","ISO/IEC11172-3,ISO/IEC13818-3","Free","Free","FhG,l3enc,MP3enc,(oldimplementations:XingTOMPG,SCMPX)","LAME(encodingonly),FFmpeg(decodingonly),libmad(decodingonly),Audiocogs(decodingonly),(oldimplementations:BladeEnc)","-","Yes","No","No","No","Yes(optional,rarelyused)"
"Musepack","FrankKlemm/MDT","1997","1.30(2009-04-02)","Free","Free","","Musepack,FFmpeg(decodingonly)","-","Yes","No","No","No","No"
"NellymoserAsao","NellymoserInc.","2002","?","Non-free","Non-free","AdobeFlash,FlashPlayer","FFmpeg","voicerecording","No","No","No","Yes","?"
"Opus","Xiph.OrgFoundation,InternetEngineeringTaskForce","2012-09-11","RFC6716(libopus1.3)","Free","Free","","libopus,FFmpeg","Speech,VoIP,Lowlatency,Studio/transmitterlink,wirelessaudio,voicerecording,WebRTC","Yes","Yes","No","Free","No"
"SBC","BluetoothSIG","2003","A2DP1.3(2012-07-24)","FreeforBluetooth","FreeforBluetooth","A2DP","BlueZ,FFmpeg","Bluetoothaudio","Yes","No","No","Yes","No"
"Shorten","TonyRobinson","1993-03-30","3.6.1(2007-03-19,finalrelease)","Free","Free","Shorten","FFmpeg(decodingonly)","-","Yes","No","Yes","No(withcommercialuserestriction)","No"
"SILK","SkypeLimited","2009-01-07","MergedintoOpus","Free","Free","Skype","SILKSpeechCodec","voicerecording","No","Yes","No","Yes","?"
"Siren7","PictureTelCorp.(nowPolycomInc.)","1999","","?","?","MicrosoftOfficeCommunicator","FreeSWITCH(libg722_1,aMSN(libsiren-partoflibmsn)","voicerecording","No","Yes","No","Yes","?"
"Speex","Xiph.OrgFoundation,Jean-MarcValin","2003-03-24","1.2.0(obsoletedbyOpus)","Free","Free","AdobeFlashPlayer10","Speex,FFmpegwithlibspeexlibrary","voicerecording","No","Yes","No","No","No"
"SVOPC","SkypeLimited","2007","","?","?","Skype","","voicerecording","No","Yes","No","Yes","?"
"TrueAudio(TTA)","TAUSoftware","1999","2.3(2015-02-24)","Free","Free","","TTA,FFmpeg","-","Yes","No","Yes","No","No"
"TwinVQ","NipponTelegraphandTelephone","1996(?)","","Non-free","Non-free","WinampwithVQFplugin,NTTTwinVQplayer/encoder,YamahaSoundVQplayer,NeroMediaPlayer","FFmpeg(decodingonly)","speech","Yes","No","No","Yes","?"
"Vorbis(Ogg)","Xiph.OrgFoundation","2000-05-11","1.3.7","Free","Free","","libvorbis,aoTuV,FFmpeg","-","Yes","No","No","No","No"
"WavPack","ConiferSoftware","1998","5.4.0(2021-01-10)","Free","Free","","WavPack,FFmpeg","Musicarchival","Yes","No","Yes","No","No"
"WindowsMediaAudio","Microsoft","1999","11.0","FreeforconsumerlicenseesoftheWindowsoperatingsystem","FreeforlicenseesoftheWindowsoperatingsystem","WindowsMediaPlayer,WindowsMediaEncoder","FFmpeg(decodingonlyforPro,LosslessandVoice)","internetstreaming","Yes","No","Yes","Yes","Optional"
"Audiocompressionformat","Creator","Firstpublicreleasedate","Lateststableversion","Encoder","Player","Proprietaryimplementations(codecs)","Open-sourceimplementations(codecs)","Uses(otherthanconsumeraudio)","Musicreproduction(consumeraudio)","Telephonyapp","Losslessaudiocompression","Patented","DRM"
"cost","Audiocompressionformat","Creator","Firstpublicreleasedate","Lateststableversion","cost","Proprietaryimplementations(codecs)","Open-sourceimplementations(codecs)","Uses(otherthanconsumeraudio)","Musicreproduction(consumeraudio)","Telephonyapp","Losslessaudiocompression","Patented","DRM"
