"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"DOM1","(noproperties)","6.0","No","1.0","?","?","1.0"
"InterfaceDocument","InterfaceDocument","InterfaceDocument","InterfaceDocument","InterfaceDocument","InterfaceDocument","InterfaceDocument","InterfaceDocument"
"DOM1","doctype","9.0","Yes","Partial","Yes","?","1.0"
"DOM1","createElement()","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","createTextNode()","1.0","5.0","Yes","?","Yes","1.0"
"DOM1","createAttribute()","1.0","6.0","Yes","?","Yes","1.0"
"DOM1","documentElement","1.0","5.0","Yes","?","Yes","1.0"
"DOM1","5.0","getElementsByTagName()","1.0","?","Yes","Yes","1.0"
"DOM1","implementation","1.0","6.0","Yes","?","Yes","1.0"
"DOM1","6.0","createDocumentFragment()","1.0","No","?","Yes","1.0"
"DOM1","No","6.0","createComment()","1.0","?","Yes","1.0"
"DOM1","No","createCDATASection()","1.0","9.0","?","Yes","1.0"
"DOM1","9.0","createProcessingInstruction()","?","1.7","?","Yes","1.0"
"DOM1","createEntityReference()","No","?","No[1]","Yes","?","No"
"DOM2","importNode()","9.0","No","1.0","Yes","?","1.0"
"DOM2","createElementNS()","9.0","No","1.0","Yes","?","1.0"
"DOM2","createAttributeNS()","9.0","No","1.0","Yes","?","1.0"
"DOM2","getElementsByTagNameNS()","9.0","No","1.0","Yes","?","1.0"
"DOM2","getElementById()","8.0","Yes","1.0","Yes","?","2.1"
"DOM3","adoptNode()","9.0","No","1.7","Yes","?","2.0"
"DOM3","inputEncoding","9.0","No","1.7","No","?","No"
"DOM3","No","xmlEncoding","No","9.0","No","1.7","?"
"DOM3","No","xmlStandalone","No","9.0","No","1.7","?"
"DOM3","No","xmlVersion","No","9.0","No","1.7","?"
"DOM3","No","domConfig","No","No","No","No","?"
"DOM3","No","No","strictErrorChecking","No","1.7","No","?"
"DOM3","1.7","No","No","documentURI","No","?","No"
"DOM3","1.7","No","No","normalizeDocument()","No","?","No"
"DOM3","1.7","No","No","renameNode()","No","?","No"
"InterfaceNode","InterfaceNode","InterfaceNode","InterfaceNode","InterfaceNode","InterfaceNode","InterfaceNode","InterfaceNode"
"DOM1","nodeName","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","nodeValue","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","nodeType","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","parentNode","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","childNodes","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","firstChild","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","lastChild","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","previousSibling","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","nextSibling","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","attributes","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","cloneNode()","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","insertBefore()","5.0","Yes","Partial","Yes","?","1.0"
"DOM1","Partial","replaceChild()","5.0","Yes","?","Yes","1.0"
"DOM1","Partial","removeChild()","5.0","Yes","?","Yes","1.0"
"DOM1","Partial","appendChild()","5.0","Yes","?","Yes","1.0"
"DOM1","ownerDocument","6.0","Yes","1.9","Yes","?","1.0"
"DOM1","6.0","hasChildNodes()","1.0","Yes","?","Yes","1.0"
"DOM2","namespaceURI","5.0","Yes","1.0","Yes","?","1.0"
"DOM2","prefix","5.0","Yes","1.0","Yes","?","1.0"
"DOM2","localName","5.0","Yes","1.0","Yes","?","1.0"
"DOM2","isSupported()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","9.0","hasAttributes()","?","Yes","1.0","Yes","1.0"
"DOM3","isSameNode()","9.0","No","1.8","Yes","?","2.1"
"DOM3","compareDocumentPosition()","9.0","No","1.7","Yes","4.2.4","2.1"
"DOM3","baseURI","1.7","No","No","?","Yes","Yes"
"DOM3","textContent","1.7","9.0","No","?","Yes","2.0"
"DOM3","9.0","lookupPrefix()","2.0","1.7","?","No","Yes"
"DOM3","9.0","isDefaultNamespace()","2.0","1.7","?","No","Yes"
"DOM3","9.0","lookupNamespaceURI()","2.0","1.7","?","No","Yes"
"DOM3","getFeature()","1.7","2.0","No","No","?","Yes"
"DOM3","No","setUserData()","1.7","?","No","No","Yes"
"DOM3","No","No","getUserData()","1.7","?","No","Yes"
"DOM3","isEqualNode()","9.0","No","1.9","Yes","?","2.7"
"InterfaceNodeList","InterfaceNodeList","InterfaceNodeList","InterfaceNodeList","InterfaceNodeList","InterfaceNodeList","InterfaceNodeList","InterfaceNodeList"
"DOM1","length","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","item()","5.0","Yes","1.0","Yes","?","1.0"
"InterfaceNamedNodeMap","InterfaceNamedNodeMap","InterfaceNamedNodeMap","InterfaceNamedNodeMap","InterfaceNamedNodeMap","InterfaceNamedNodeMap","InterfaceNamedNodeMap","InterfaceNamedNodeMap"
"DOM1","length","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","getNamedItem()","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","setNamedItem()","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","removeNamedItem()","5.0","Yes","1.0","Yes","?","1.0"
"DOM1","item()","5.0","Yes","1.0","Yes","?","1.0"
"DOM2","getNamedItemNS()","9.0","No","1.0","Yes","?","1.0"
"DOM2","setNamedItemNS()","9.0","No","1.0","Yes","?","1.0"
"DOM2","removeNamedItemNS()","9.0","No","1.0","Yes","?","1.0"
"InterfaceCharacterData","InterfaceCharacterData","InterfaceCharacterData","InterfaceCharacterData","InterfaceCharacterData","InterfaceCharacterData","InterfaceCharacterData","InterfaceCharacterData"
"DOM1","data","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","length","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","substringData()","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","appendData()","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","insertData()","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","deleteData()","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","replaceData()","4.0","Yes","1.0","Yes","?","1.0"
"InterfaceAttr","InterfaceAttr","InterfaceAttr","InterfaceAttr","InterfaceAttr","InterfaceAttr","InterfaceAttr","InterfaceAttr"
"DOM1","name","6.0","?","1.0","Yes","Yes","1.0"
"DOM1","value","6.0","?","1.0","Yes","Yes","1.0"
"DOM1","specified","Incorrect","Incorrect","1.9.1","Yes","Yes","1.0"
"DOM2","ownerElement","9.0","?","1.0","Yes","Yes","1.0"
"DOM3","schemaTypeInfo","No","No","No","No","?","No"
"DOM3","isId","No","No","1.9","No","No","No"
"InterfaceElement","InterfaceElement","InterfaceElement","InterfaceElement","InterfaceElement","InterfaceElement","InterfaceElement","InterfaceElement"
"DOM1","tagName","4.0","Yes","1.0","Yes","Yes","1.0"
"DOM1","getElementsByTagName()","4.0","Yes","1.0","Yes","Yes","1.0"
"DOM1","getAttribute()","8.0","Yes","1.0","Yes","Yes","1.0"
"DOM1","8.0","setAttribute()","Yes","1.0","Yes","Yes","1.0"
"DOM1","8.0","removeAttribute()","Yes","1.0","Yes","Yes","1.0"
"DOM1","getAttributeNode()","6.0","Yes","1.0","Yes","Yes","1.0"
"DOM1","setAttributeNode()","9.0","Yes","1.0","Yes","Yes","1.0"
"DOM1","9.0","removeAttributeNode()","Yes","1.0","Yes","Yes","1.0"
"DOM1","9.0","normalize()","No","Yes","1.0","?","1.0"
"DOM2","getAttributeNS()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","setAttributeNS()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","removeAttributeNS()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","getAttributeNodeNS()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","setAttributeNodeNS()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","getElementsByTagNameNS()","9.0","No","1.0","Yes","?","1.0"
"DOM2","hasAttribute()","9.0","Yes","1.0","Yes","?","1.0"
"DOM2","Yes","hasAttributeNS()","9.0","?","1.0","Yes","1.0"
"DOM3","schemaTypeInfo","No","No","No","No","?","No"
"DOM3","setIdAttribute()","No","No","No","No","?","No"
"DOM3","setIdAttributeNS()","No","No","No","No","?","No"
"DOM3","setIdAttributeNode()","No","No","No","No","?","No"
"InterfaceText","InterfaceText","InterfaceText","InterfaceText","InterfaceText","InterfaceText","InterfaceText","InterfaceText"
"DOM1","splitText()","9.0","Yes","1.0","Yes","?","1.0"
"DOM3","isElementContentWhitespace","No","No","1.9.1","No","?","Yes"
"DOM3","wholeText","9.0","No","1.9.1","No","?","2.1"
"DOM3","9.0","replaceWholeText()","2.1","?","No","1.9.1","No"
"InterfaceComment","InterfaceComment","InterfaceComment","InterfaceComment","InterfaceComment","InterfaceComment","InterfaceComment","InterfaceComment"
"DOM1","(noproperties)","6.0","No","1.0","Yes","?","1.0"
"InterfaceTypeInfo","InterfaceTypeInfo","InterfaceTypeInfo","InterfaceTypeInfo","InterfaceTypeInfo","InterfaceTypeInfo","InterfaceTypeInfo","InterfaceTypeInfo"
"DOM3","typeName","No","No","No","No","No","No"
"DOM3","typeNamespace","No","No","No","No","No","No"
"DOM3","isDerivedFrom()","No","No","No","No","No","No"
"InterfaceUserDataHandler","InterfaceUserDataHandler","InterfaceUserDataHandler","InterfaceUserDataHandler","InterfaceUserDataHandler","InterfaceUserDataHandler","InterfaceUserDataHandler","InterfaceUserDataHandler"
"DOM3","handle()","No","No","No","No","No","No"
"InterfaceDOMError","InterfaceDOMError","InterfaceDOMError","InterfaceDOMError","InterfaceDOMError","InterfaceDOMError","InterfaceDOMError","InterfaceDOMError"
"DOM3","severity","No","No","No","No","No","2.0"
"DOM3","message","No","No","No","No","No","2.0"
"DOM3","type","No","No","No","No","No","2.0"
"DOM3","location","No","No","No","No","No","2.0"
"DOM3","relatedData","No","No","No","No","No","2.0"
"DOM3","relatedException","No","No","No","No","No","No"
"InterfaceDOMErrorHandler","InterfaceDOMErrorHandler","InterfaceDOMErrorHandler","InterfaceDOMErrorHandler","InterfaceDOMErrorHandler","InterfaceDOMErrorHandler","InterfaceDOMErrorHandler","InterfaceDOMErrorHandler"
"DOM3","handleError()","No","No","No","No","No","2.0"
"InterfaceDOMLocator","InterfaceDOMLocator","InterfaceDOMLocator","InterfaceDOMLocator","InterfaceDOMLocator","InterfaceDOMLocator","InterfaceDOMLocator","InterfaceDOMLocator"
"DOM3","lineNumber","No","No","No","No","No","2.0"
"DOM3","columnNumber","No","No","No","No","No","2.0"
"DOM3","byteOffset","No","No","No","No","No","2.0"
"DOM3","utf16Offset","No","No","No","No","No","2.0"
"DOM3","relatedNode","No","No","No","No","No","2.0"
"DOM3","uri","No","No","No","No","No","2.0"
"InterfaceDOMConfiguration","InterfaceDOMConfiguration","InterfaceDOMConfiguration","InterfaceDOMConfiguration","InterfaceDOMConfiguration","InterfaceDOMConfiguration","InterfaceDOMConfiguration","InterfaceDOMConfiguration"
"DOM3","parameterNames","No","No","No","No","?","2.0"
"DOM3","setParameter()","No","No","No","No","?","2.0"
"DOM3","getParameter()","No","No","No","No","?","2.0"
"DOM3","canSetParameter()","No","No","No","No","?","2.0"
