"Client","Developer","Initialrelease","Platform","Latestrelease","Latestrelease","License","Monthlyactiveusers"
"Client","Developer","Initialrelease","Platform","Version","License","Monthlyactiveusers","Date"
"Jami","Savoir-faireLinux","","macOS","202112151254","2021-12-15","GPL-3.0-or-later",""
"Jami","Savoir-faireLinux","","Windows","202112221025","2021-12-22","GPL-3.0-or-later",""
"Jitsi","EmilIvov","2003;19yearsago(2003)","Desktop","2.10","2017-10-01","Apache-2.0",""
"Kadu","KaduTeam","August2001;20yearsago(2001-08)","BSD","4.3","2017-01-24","GPL-2.0-or-later",""
"Kadu","KaduTeam","August2001;20yearsago(2001-08)","Linux","4.3","2017-01-24","GPL-2.0-or-later",""
"Kadu","KaduTeam","August2001;20yearsago(2001-08)","macOS","4.3","2017-01-24","GPL-2.0-or-later",""
"Kadu","KaduTeam","August2001;20yearsago(2001-08)","Windows","4.3","2017-01-24","GPL-2.0-or-later",""
"KakaoTalk","KakaoCorp.","March18,2010;11yearsago(2010-03-18)","","","","Proprietaryfreeware","49million(2018)"
"Keybase","Keybase","February8,2017;5yearsago(2017-02-08)","","","","NewBSDLicense",""
"KikMessenger","Medialab","October2010;11yearsago(2010-10)","Android","15.39.1.25426","2021-12-15","Proprietaryadwarefreemium","15million(2017)"
"KikMessenger","Medialab","October2010;11yearsago(2010-10)","iOS","16.0.7","2021-12-15","Proprietaryadwarefreemium","15million(2017)"
"Line","LINECorporation","March2012;10yearsago(2012-03)","Android","11.22.2","2021-12-22","Proprietaryfreemium","700million(2017)"
"Line","LINECorporation","March2012;10yearsago(2012-03)","iOS","11.22.1","2021-12-17","Proprietaryfreemium","700million(2017)"
"Line","LINECorporation","March2012;10yearsago(2012-03)","Chrome","2.5.0","2021-12-28","Proprietaryfreemium","700million(2017)"
"Line","LINECorporation","March2012;10yearsago(2012-03)","macOS","7.5.0","2021-12-17","Proprietaryfreemium","700million(2017)"
"Line","LINECorporation","March2012;10yearsago(2012-03)","Windows","7.5","2021-12-16","Proprietaryfreemium","700million(2017)"
"Linphone","BelledonneCommunications","","Android","4.5.6","2021-11-08","GPL-3.0-or-later",""
"Linphone","BelledonneCommunications","","iOS","4.5.1","2021-10-08","GPL-3.0-or-later",""
"Linphone","BelledonneCommunications","","Linux","4.3.2","2021-11-09","GPL-3.0-or-later",""
"Linphone","BelledonneCommunications","","macOS","4.3.2","2021-11-09","GPL-3.0-or-later",""
"Linphone","BelledonneCommunications","","Windows","4.3.2","2021-11-09","GPL-3.0-or-later",""
"Mattermost","MattermostInc","2015;7yearsago(2015)","Android","1.49.1","2022-02-23","Apache-2.0",""
"Mattermost","MattermostInc","2015;7yearsago(2015)","iOS","1.49.1","2022-02-23","Apache-2.0",""
"Mattermost","MattermostInc","2015;7yearsago(2015)","Linux","5.0.4","2022-02-04","Apache-2.0",""
"Mattermost","MattermostInc","2015;7yearsago(2015)","macOS","5.0.4","2022-02-04","Apache-2.0",""
"Mattermost","MattermostInc","2015;7yearsago(2015)","Windows","5.0.4","2022-02-04","Apache-2.0",""
"MCabber","MikaelBerthe","June7,2005;16yearsago(2005-06-07)","BSD","1.1.2","2020-09-19","GPL-2.0-or-later",""
"MCabber","MikaelBerthe","June7,2005;16yearsago(2005-06-07)","Linux","1.1.2","2020-09-19","GPL-2.0-or-later",""
"MCabber","MikaelBerthe","June7,2005;16yearsago(2005-06-07)","macOS","1.1.2","2020-09-19","GPL-2.0-or-later",""
"Messages","AppleInc.","July25,2012;9yearsago(2012-07-25)","","","","Proprietary,partofmacOSandiOS",""
"Messenger","MetaPlatforms","August9,2011;10yearsago(2011-08-09)","Android","342.1.0.14.119","2021-12-17","Proprietaryfreeware","1300million(2019)"
"Messenger","MetaPlatforms","August9,2011;10yearsago(2011-08-09)","iOS","342.2","2021-12-20","Proprietaryfreeware","1300million(2019)"
"Messenger","MetaPlatforms","August9,2011;10yearsago(2011-08-09)","macOS","134.0","2021-12-19","Proprietaryfreeware","1300million(2019)"
"Messenger","MetaPlatforms","August9,2011;10yearsago(2011-08-09)","Windows","1180.4.112.0","2021-08-18","Proprietaryfreeware","1300million(2019)"
"Movim","TimothéeJaussoin","March3,2011;11yearsago(2011-03-03)","Any,Progressivewebapplication","0.20","2022-02-19","AGPL-3.0-or-later",""
"Palringo","PalringoLtd","2006;16yearsago(2006)","Android","10.14","2021-11-29","Proprietaryfreemium",""
"Palringo","PalringoLtd","2006;16yearsago(2006)","iOS","10.13.1","2021-10-19","Proprietaryfreemium",""
