"B1FreeArchiver","AdamBuyer","2011-08","Windows","1.7.122.0","2015-09","Proprietary","Nocost"
"BetterZip","MacItBetter","2006-05","macOS","5.0","2020-06-17","Proprietary","$29.95USD"
"CommanderOne","EltimaSoftware","2015-08-04","macOS","3.3.3508","2021-09-10","Proprietary","Standardatnocost.$29.95ProPack."
"CompressedFolders","MicrosoftInc.","1998-06-25","Windows","Windows8.1","2013-08-27","Proprietary","Bundled"
"DiskARchiver","DenisCorbin","2002","BSD","2.7.1","2021-05-17","GPL-2.0-or-later","Nocost"
"DiskARchiver","DenisCorbin","2002","GNU/Linux","2.7.1","2021-05-17","GPL-2.0-or-later","Nocost"
"DiskARchiver","DenisCorbin","2002","macOS","2.7.1","2021-05-17","GPL-2.0-or-later","Nocost"
"DiskARchiver","DenisCorbin","2002","Unix","2.7.1","2021-05-17","GPL-2.0-or-later","Nocost"
"DiskARchiver","DenisCorbin","2002","Windows","2.7.1","2021-05-17","GPL-2.0-or-later","Nocost"
"Expander","Haiku,Inc.","2002","Haiku","R1/beta3","2021-07-26","MIT","Nocost"
"Filzip","PhilippEngel","Unknown","Windows","","","Proprietary","Nocost"
"FreeArc","BulatZiganshin","2007-11-01","BSD","0.666","2010-05-20","GPL-2.0-only","Nocost"
"FreeArc","BulatZiganshin","2007-11-01","GNU/Linux","0.666","2010-05-20","GPL-2.0-only","Nocost"
"FreeArc","BulatZiganshin","2007-11-01","Unix","0.666","2010-05-20","GPL-2.0-only","Nocost"
"FreeArc","BulatZiganshin","2007-11-01","Windows","0.666","2010-05-20","GPL-2.0-only","Nocost"
"iArchiver","DaretobeCreativeLtd.","2007-10-21","macOS","1.4.1","2008-10-30","Proprietary","$26"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","AmigaOS","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","BSD","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","DOS","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","GNU/Linux","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","macOS","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","Unix","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","Windows","6.0","2009-04-29","Info-Zip","Nocost"
"Info-ZIP(Wzip)","SamuelSmith","1989-03","WindowsMobile","6.0","2009-04-29","Info-Zip","Nocost"
"KGBArchiver","TomaszPawlak","2006-04-01","Android","1.2.1.24","2006-11-01","GPL-2.0-only","Nocost"
"KGBArchiver","TomaszPawlak","2006-04-01","DOS","1.2.1.24","2006-11-01","GPL-2.0-only","Nocost"
"KGBArchiver","TomaszPawlak","2006-04-01","GNU/Linux","1.2.1.24","2006-11-01","GPL-2.0-only","Nocost"
"KGBArchiver","TomaszPawlak","2006-04-01","macOS","1.2.1.24","2006-11-01","GPL-2.0-only","Nocost"
"KGBArchiver","TomaszPawlak","2006-04-01","Windows","1.2.1.24","2006-11-01","GPL-2.0-only","Nocost"
"PeaZip","GiorgioTani","2006-04-19","BSD","8.5.0","2022-02-20","LGPL-3.0-or-later","Nocost"
"PeaZip","GiorgioTani","2006-04-19","GNU/Linux","8.5.0","2022-02-20","LGPL-3.0-or-later","Nocost"
"PeaZip","GiorgioTani","2006-04-19","macOS","8.5.0","2022-02-20","LGPL-3.0-or-later","Nocost"
"PeaZip","GiorgioTani","2006-04-19","Windows","8.5.0","2022-02-20","LGPL-3.0-or-later","Nocost"
"PKZIP","PhilKatz","1989","AmigaOS","12.4","2009-09","Proprietary","$29.00"
"PKZIP","PhilKatz","1989","DOS","12.4","2009-09","Proprietary","$29.00"
"PKZIP","PhilKatz","1989","GNU/Linux","12.4","2009-09","Proprietary","$29.00"
"PKZIP","PhilKatz","1989","Unix","12.4","2009-09","Proprietary","$29.00"
"PKZIP","PhilKatz","1989","Windows","12.4","2009-09","Proprietary","$29.00"
"PowerArchiver","ConexWare","1999-03","macOS","1.00.32","2021-01-26","Proprietary","$22.95"
"PowerArchiver","ConexWare","1999-03","Windows","20.10.03","2021-07-06","Proprietary","$22.95"
"StuffIt","SmithMicroSoftware","1987","macOS","15.0.7","2011-12-01","Proprietary","$49.99Deluxe.$79.99FrenchDeluxe.Windows:$14.99Standard.$29.99Deluxe.$49.99French(orGerman)Deluxe.Nocostforexpander."
"StuffIt","SmithMicroSoftware","1987","Windows","15.0.7","2011-12-01","Proprietary","$49.99Deluxe.$79.99FrenchDeluxe.Windows:$14.99Standard.$29.99Deluxe.$49.99French(orGerman)Deluxe.Nocostforexpander."
"TAR","AT&T1979","","BSDtar","3.5.2","2021-08-23","BSD-2-Clause","Nocost"
"TAR","AT&T1979","","GNUtar","1.34","2021-02-13","GPL-3.0-or-later","Nocost"
"TAR","AT&T1979","1987","pdtar","","","Publicdomain","Nocost"
"TAR","AT&T1979","1997","star","1.6.0","2019-04-15","CDDL-1.0","Nocost"
"TheUnarchiver","Circlesoft","2006-07-01","GNU/Linux","4.3.0","2021-04-20","Proprietary","Nocost"
"TheUnarchiver","Circlesoft","2006-07-01","macOS","4.3.0","2021-04-20","Proprietary","Nocost"
"TheUnarchiver","Circlesoft","2006-07-01","Windows","4.3.0","2021-04-20","Proprietary","Nocost"
"Terse","IBM","1984-07-01","","","","Proprietary","Nocost"
"TUGZip","ChristianKindahl","2002-08-18","Windows","3.5.0.0","2008-04-02","Proprietary","Nocost"
"WinAce","e-mergeGmbH","Unknown","Windows","2.69","2007-11-08","Proprietary","$29.00Standard.$39.00Plus.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","AmigaOS","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","Android","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","BSD","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","DOS","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","GNU/Linux","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","macOS","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","Unix","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","Windows","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinRAR","EugeneRoshalAlexanderRoshal","1993","WindowsMobile","6.11","2022-03-04","Proprietary","$29.Nocostforexpander."
"WinZip","WinZipComputing,Inc","1991","AmigaOS","","","Proprietary","$29.95Standard.$49.95Pro."
"WinZip","WinZipComputing,Inc","1991","Android","6.1.1","2020-12-18","Proprietary","$29.95Standard.$49.95Pro."
"WinZip","WinZipComputing,Inc","1991","DOS","","","Proprietary","$29.95Standard.$49.95Pro."
"WinZip","WinZipComputing,Inc","1991","iOS","7.1","2021-05-13","Proprietary","$29.95Standard.$49.95Pro."
"WinZip","WinZipComputing,Inc","1991","macOS","9.0.5520","2021-05","Proprietary","$29.95Standard.$49.95Pro."
"WinZip","WinZipComputing,Inc","1991","Windows","26.0.14610","2021-08-31","Proprietary","$29.95Standard.$49.95Pro."
"XAD(XADMaster.library)","DirkStoecker","1998","AmigaOS","13.1","","Proprietary","SharewareNocostfornon-commercialuse."
"XAD(XADMaster.library)","DirkStoecker","1998","BSD","13.1","","Proprietary","SharewareNocostfornon-commercialuse."
"XAD(XADMaster.library)","DirkStoecker","1998","GNU/Linux","13.1","","Proprietary","SharewareNocostfornon-commercialuse."
"XAD(XADMaster.library)","DirkStoecker","1998","Unix","13.1","","Proprietary","SharewareNocostfornon-commercialuse."
"Xarchiver","GiuseppeTorelli","Unknown","BSD","0.5.4.17","2021-01-24","GPL-2.0-or-later","Nocost"
"Xarchiver","GiuseppeTorelli","Unknown","GNU/Linux","0.5.4.17","2021-01-24","GPL-2.0-or-later","Nocost"
"ZipGenius","MatteoRisoofM.DevSoftware","2003-05","Windows","6.3.2.3116","2017-02-01","Proprietary","Nocost"
"ZPAQ","MattMahoney","2009-03","macOS","7.15","2016-09-22","PublicdomainMIT","Nocost"
"ZPAQ","MattMahoney","2009-03","GNU/Linux","7.15","2016-09-22","PublicdomainMIT","Nocost"
"ZPAQ","MattMahoney","2009-03","Windows","7.15","2016-09-22","PublicdomainMIT","Nocost"
"Filearchivers","Developer","Initialrelease","Platform","Latestrelease","Latestrelease","License","Cost(USD)"
"Filearchivers","Developer","Initialrelease","Platform","Version","License","Cost(USD)","Date"
