"gtk-gnutella","Gnutella","No","magnet","Free","GNU,Windows,Linux","GPL","C","Yes","2018,1.2.0(July9,2020;19monthsago(2020-07-09))[±]",""
"I2Phex","I2P(protocolGnutella)","Yes","magnet","Free","GNU,macOS,Windows","GPL","Java","Yes","2011","NeedI2Ptorun."
"iMule","I2P(protocolKadnetwork)","Yes","ed2k,magnet","Free","GNU,macOS,Windows","GPL","C++","Yes","2013,2.3.3.3(June1,2016(2016-06-01))[±]","needsI2Ptorun"
"Jumpshare","Jumpshare","No","No","FreeorUS$9.99/month","Windows,macOS","Proprietary","Various","Yes","2015","Real-timefilesharingwithbuilt-inutilitiesforscreenshots,screencasts,notes,andvoiceclips"
"KCeasy","Ares,Gnutella,FastTrack,OpenFT","No","No","Free","Windows","GPL","C++,ObjectPascal(Delphi)","Yes","2008","UsesintegratedgiFTfilesharingdaemonasback-end."
"KGet","BitTorrent;HTTP/FTPdownload","No","?","Free","partofKDEonWindows","GPL","C++","?","2012","?"
"MLDonkey","BitTorrent,eDonkey,FastTrack,(Gnutella,Gnutella2),Kad;HTTP/FTPdownload","No","ed2k,magnet,sig2dat","Free","GNU,macOS,Windows,Linux","GPL","OCaml","Yes","2014,3.1.7(July6,2020;19monthsago(2020-07-06))[±]","P2Papplication,telnet/web-interface/GUIinterface,completeandcomplexremoteusage.SanchoGUImakesautomaticSSHtunnels."
"Nodezilla","Private","Yes","No","Free","GNU,Windows","coreproprietary,GUIGPL","Java","Yes","2010","Mostisproprietary,GUIisGPL."
"PerfectDark","PerfectDark","Yes","No","Free","Windows","Proprietary","C++","Yes","2015","Boards.Autoupdate."
"Retroshare","Retroshare","Yes","Ownformat","Free","Windows,GNU,macOS","GPL","C++","Yes","2021","UsesPGPforfriendauthentication.DecentralizedF2Fnetworktype."
"Robert","I2P(protocolBitTorrent)","Yes","magnet","Free","GNU,macOS,Windows","GPL","Python","Yes","2012","needsI2Ptorun"
"Share","Share","Yes","No","Free","Windows","Proprietary","ObjectPascal(Delphi)","Yes","2006","Anonymousdeveloper;triestobeWinnysuccessor"
"Shareaza","eDonkey,BitTorrent,Gnutella,Gnutella2,DirectConnect;HTTP/FTPdownload","No","ed2k,magnet,Piolet/MP2P,gnutella","Free","Windows","GPL","C++","Yes","2017,2.7.10.2(September18,2017;4yearsago(2017-09-18))[±]","Usesapowerfulfileslibrary;maintainedbyvolunteergroup"
"StealthNet","RShare","Yes","No","Free","GNU,macOS,Windows","GPL","C#","Yes","2011","EvolutionoftheRShareclientwithmanyfunctions."
"Soulseek","Soulseek","No","No","Free,donationsforprivileges","Windows,Mac,Linux","Proprietary","?","Yes","2015,SoulseekQtbuild2021.02.06(February6,2021;12monthsago(2021-02-06))[±]","Folderdownloads,browseuserswithfoldertrees,nomulti-sourcedownloads"
"Tribler","BitTorrentanditsown","Yes","magnet","Free","Windows,GNU,macOS","GNULGPLv2.1+","Python,C++","Yes","2019,7.11.0(January1,2022;52daysago(2022-01-01))[±]","Unlikemostothertorrentclients,Triblerisdecentralized(aswellasanonymous)anddoesnotrelyonanytrackersoranyotherindexingservicetodiscovercontent.Alsofeaturesabuilt-invideostreamer."
"Vuze(formerlyAzureus)","BitTorrentandI2P","No(exceptwhenusingI2P)","magnet","Free","GNU,macOS,Windows","GPL","Java","No","2016,5.7.6.0(November2,2017;4yearsago(2017-11-02))[±]",""
"WinMX","WinMXPeerNetwork(independent,nowuser-operated),OpenNAP,chatroomssupported","No","No","Free","Windows","Proprietary","C++","Yes","2004","OfficialdevelopmenthasceasedduetoRIAAcoercion.Versions3.53,3.54beta4andolderareavailablefrom3rdparties."
"Winny","Winny","Yes","No","Free","Windows","Proprietary","C++","Yes","2003",""
"WireShare","Gnutella,BitTorrent","No","magnet","Free","GNU,macOS,Windows","GPL","Java","Yes","2016","ForkedfromLimewirepro"
"Name","Network","AnonymousP2P","Linksystemcompatibility","Price","Platform","License","Programminglanguage","FreeSpyware-Adware","Lastreleaseyear","Extrainformation"
